gene_name	p_value
PLA2R1	6.57212465114965e-05
FCGBP	0.00277992877719013
MROH2A	0.00630330991328565
HIST1H4E	0.0119135162511966
FAM83A	0.0131190187918112
MROH2B	0.0133989097695916
THNSL1	0.0136678526101339
ZC3H8	0.013697918658663
ANKRD30A	0.0153518473632049
OBSL1	0.0157868504613071
PASK	0.0183826877251722
FAM221A	0.0203064651775983
PLEKHG5	0.0210091673585543
KCTD18	0.0226310368478254
CENPW	0.023868476677945
RADIL	0.0239854853384162
ATP2A1	0.0262471567154853
OR51G1	0.0264879261727696
TEX14	0.0265552694092412
OR56B1	0.0277672639075621
FAM173B	0.0280158120641829
ECT2L	0.0291874027214869
ASCL3	0.0308089369478596
OR10AD1	0.031115195385569
ABCA7	0.0320830720391058
ENGASE	0.0340293982652875
ADAM29	0.0346580870817729
PAPLN	0.0383065331266219
RPSA	0.038485805548785
PAXBP1	0.043966642088748
LTB4R2	0.0449492443655866
KLC3	0.0485230444422645
NDUFV3	0.049818100446604
VPS33A	0.0498679982216437
NR2E3	0.0509699505944086
ETFBKMT	0.0518107029270101
SPDL1	0.0522065682297365
ATP13A5	0.0531282465286688
TMEM247	0.0607024229531701
ABI3BP	0.0608022264773252
RP1L1	0.0608245103540554
KRT82	0.0619525771570756
SFXN3	0.065034839312354
FAM111A	0.0660155497765448
CFAP65	0.0678663776388145
UBQLN3	0.0679463809066134
CYP2C18	0.0690574402725366
MUC4	0.0731209973424045
ZNF266	0.0742117701435295
KRTAP1-1	0.0742204084596795
ACOT4	0.075197043618913
UGGT2	0.0760647103796011
POLQ	0.0781273530279131
DNAH1	0.0791700483714427
XIRP2	0.080249077386769
CRB2	0.0827228104111142
OR2T11	0.0832061616369415
WDR90	0.0862379358968824
MUC16	0.0887295788737885
S100A13	0.088964563509595
FBXW8	0.0897187523248325
ULK4	0.0912317514539115
TLDC2	0.0924910579540105
OTOP3	0.0982140875871595
C20orf202	0.0988463162288099
SH3D21	0.100525407782803
KRT77	0.101230797971971
GAL3ST2	0.102067883858066
ATP7B	0.105027144021003
SLFN12L	0.105731619197753
HNRNPU	0.107615865986922
IFNA5	0.107829164135934
GCNT3	0.109307134571533
NUDT8	0.11378780796565
CDRT1	0.114725430332524
OTOF	0.114774137605976
AKNAD1	0.114872715421788
STK33	0.114946576041891
CCT6B	0.117249345454579
FAM81B	0.117631232821827
PKHD1L1	0.117970084972175
FCRL3	0.120026926535432
CLCN1	0.121228696455255
HAP1	0.121985997036322
HIST1H4B	0.126466345833891
CFAP46	0.12801356194908
SERPINA12	0.129651463105661
C15orf48	0.130049792441887
KRTAP24-1	0.130451111697612
SEMA4B	0.131018483631
TMPRSS9	0.132366531097433
NINL	0.132990691490751
PTGER3	0.134064942774078
ABHD12B	0.135032407587047
LMBRD1	0.135221492997968
ATP11A	0.136506076985287
IL17RC	0.137103523793725
TOGARAM2	0.137372273697908
FRAS1	0.139023280382554
TMC2	0.140718939928427
C6orf52	0.142438089561798
SDCBP2	0.145509587286317
CNPY4	0.145870093857365
S100Z	0.151004785517025
FLG2	0.152252538190549
RGL3	0.157017208570797
ERMARD	0.158246405178811
ADGRF3	0.158586661195857
BABAM2	0.15933608891726
CNGB3	0.162107676595035
NME3	0.166322290511637
ZNF211	0.168671045116485
ZNF142	0.170727362518057
CASP5	0.171060105490917
CHEK2	0.171347584948228
AUNIP	0.171689444041329
MTHFD2L	0.171992695268839
IGSF10	0.173539822316858
CBX2	0.174090264769477
ZNF226	0.175354971547956
CREB3L3	0.175660337591955
PCDHAC1	0.177568812978148
DOLK	0.17757555872971
SLC39A7	0.180507965505499
ROS1	0.18077228534331
KIAA1257	0.18099725727846
LILRA2	0.181127492716226
ALMS1	0.181529667046193
