gene_name	p_value
PLA2R1	0.00365211347864436
ACOXL	0.0101284694013397
ABTB1	0.0104618287894204
UPK3B	0.0127925295759314
CNPY4	0.0139768343246103
ZNF528	0.0202896693079514
KRTCAP3	0.0204307302660431
DNAH14	0.0210052976670051
LAMA2	0.0212150423763164
LTB4R2	0.0220244472103672
UGGT2	0.0220831411507978
MYBPHL	0.0265414607661525
ABCA7	0.0267960512312573
LMBRD1	0.0287339362385243
TMPRSS9	0.0312914361267403
HAP1	0.0334001016239391
MROH2B	0.0341725968177291
FCRL3	0.0343279846500584
DPEP2	0.0355764435439762
ASAH2	0.0359498646103615
ZFP69	0.0362301594980324
RNF213	0.0363192493500101
STK33	0.0369699782813657
OXR1	0.0375371984814987
MROH2A	0.0376787290858003
BTNL2	0.0393266981458306
CES2	0.0412848322021142
PLEKHG5	0.0426368069117915
ZNF211	0.0426699573784363
CFAP46	0.0428666053830349
ZBED6CL	0.0430420818736211
ATP7B	0.043634921255989
ZC3H8	0.0440953023568582
XIRP2	0.0459182366684789
TOGARAM2	0.0460461959412
CEP78	0.0496380988335235
TTC3	0.0496637299242191
DOCK6	0.0511356582181193
ANKRD30A	0.0527695767901657
CFHR2	0.0528652856446911
SLFN12L	0.0546307580567946
FBRSL1	0.0604748957293345
FNDC7	0.0609152902218298
PAPLN	0.0617727336144632
PPFIBP2	0.0621154134293833
OGFOD3	0.0668092814556717
HEATR4	0.0711353109212064
SLC39A7	0.0723488469783674
OR7G3	0.0740596923024005
CHEK2	0.0762321010457917
EYS	0.0776018132523665
POLR3C	0.0835110841921826
DHRS12	0.0837440429501209
FAM83A	0.0841592080128453
HLA-DQB1	0.0851336379497439
DDTL	0.085806804003026
XRRA1	0.0860273187351245
ROS1	0.087402412324621
SPDL1	0.0889134426374397
DNHD1	0.0909283163840144
CCNI2	0.0910744122463462
S100Z	0.0912519523499052
RNF175	0.0935731312484462
B3GNT4	0.0940575219092007
ULK4	0.0948336454904228
TEX14	0.0966089204647838
USP6	0.0981983914704296
HGFAC	0.0990557477232479
CEACAM21	0.102449502804001
CD300C	0.103238309851593
ANO7	0.103457164263958
GCA	0.111334777507767
KRTAP1-1	0.112531057061005
NEB	0.113452673003409
CSH2	0.113768284592558
CALML4	0.11397179326646
ATP13A5	0.115136952084801
LILRA2	0.115944138342395
TP53I3	0.116234807356356
ZNF280A	0.116859331543997
RPSA	0.117576666730987
IFNA5	0.118306586641523
GCKR	0.120112292186138
ATP2A1	0.120959713503885
GCNT3	0.121058303851915
TRIM38	0.121830033154416
GMPR	0.121885816279507
IGFN1	0.124487826007353
CROCC2	0.125042507995944
NUP214	0.125819342584505
GPATCH2L	0.126422127901596
CDRT1	0.128530469390146
FAM189B	0.128930843493219
OR10AD1	0.129715836785369
ENPEP	0.132772849451001
C16orf74	0.132973991134529
ACSM2A	0.13509941987646
MUC16	0.135952801590506
DNM3OS	0.137356262968667
RANGRF	0.137949741250406
FBN3	0.139419492008746
ADAM8	0.144575050638891
IGSF10	0.146084655365463
FCGBP	0.146828333040102
OR51M1	0.147122581711628
DCAKD	0.147404865691114
C1orf56	0.149584089327729
USH2A	0.149817596905561
YIPF2	0.152077977264706
EXTL1	0.159510742452335
PTCHD3	0.160834584329391
ABCA8	0.161354363857571
SOSTDC1	0.161682533900801
RAD50	0.162609987041077
OR2T11	0.167976768866521
NRBP1	0.169140880934851
TMEM54	0.170748557068907
ZNF544	0.171173496528419
UBQLN3	0.171611961372336
DOLK	0.172748655154239
GPR142	0.172813435005462
SZT2	0.173161720703753
C19orf71	0.174716309234096
M1AP	0.17493396453471
CCDC183	0.178567805141041
OTOP3	0.17892130234614
CRB2	0.178934985893946
CCDC191	0.179632669198951
CCDC154	0.18009637373136
SDCBP2	0.180584586980958
CFHR5	0.180914106315466
POLQ	0.181093343615106
ADPRH	0.18409785069171
WDR90	0.184887745176714
LONP2	0.18745038983325
SYNE1	0.18759498491436
IGSF22	0.188671695014142
MROH6	0.189550003452778
KRT77	0.192283450526411
ABCC6	0.193929416473346
NID2	0.195290387471721
TNFSF18	0.196119478938467
SLCO1B7	0.196536104306014
CNTLN	0.197240195653789
ERMARD	0.197283785288325
VPS33A	0.198406278254591
ATP11A	0.198438628656261
VPS9D1	0.198558528749793
CFAP65	0.200107474019389
MUC4	0.201585218436656
HNRNPA1L2	0.202509814253928
MAN2C1	0.20326889352768
SECTM1	0.203364262354643
WDR64	0.205947294888674
TRIM50	0.206104713418936
ABCA13	0.207505294029542
PCDHB11	0.208209628707531
OSBPL1A	0.208897940993404
DNAH11	0.211749629739941
ETFBKMT	0.212506012055906
DUSP16	0.213209390519111
NR2E3	0.214116921304955
PXK	0.216871432021972
SDSL	0.218984214929966
DNASE1	0.225331642170913
CD177	0.227619057289079
PASK	0.228309327113783
ALDH3B2	0.230049093254843
HIST1H2BE	0.232248326466537
ADCY4	0.234667723910404
TLDC2	0.234748038860337
MYO15A	0.234821143481931
MICALCL	0.235907917353687
RABEPK	0.239866057419343
KCTD18	0.240476244199823
PDE11A	0.242882300325029
OR56B1	0.243320115471411
CLHC1	0.245252007053801
SPATA33	0.246978756453027
C20orf202	0.248045265463477
MMP1	0.250212174099307
CCDC146	0.250302981154885
GNLY	0.252118193949857
FLG	0.256322644950593
SKA3	0.257747989640456
IFITM10	0.258804020321718
DNAH7	0.260254819645836
GOLGA6L2	0.260706775700094
LEXM	0.260881571546987
IL33	0.261393352759249
PADI2	0.262043837508644
C6orf52	0.263284369131926
PKHD1L1	0.265835952400699
CCT6B	0.267404357532298
NDUFV3	0.270931486926666
CCDC63	0.27141485027369
ARHGEF38	0.276924399653605
COL9A2	0.280195610919014
IL17RC	0.28028893338078
SLC25A2	0.280747945845994
EPB41L4A	0.281556548818092
FRMD5	0.282219757024357
CYB561D2	0.282574975561477
SGK494	0.283677967186775
KALRN	0.285122953208801
SERPINA12	0.286870742314841
KLC3	0.287895918034406
DAP	0.288473171885823
FAM221A	0.29164562876013
THNSL1	0.29204511299431
DHCR7	0.295264957287041
MAP3K6	0.295393112387568
COL23A1	0.296167161508832
HNRNPU	0.297051556934034
ABHD12B	0.297678426635296
KRTAP24-1	0.298684203247852
ZNF676	0.299398841636516
GOLGA6C	0.299884719209109
MYH8	0.300568202124696
KANK4	0.301462411764968
CFHR3	0.303129036704107
OBP2B	0.305756243765508
ABCC12	0.307066210966661
FAM109B	0.307685173262609
NME3	0.310331805754252
CD36	0.310953699297895
CENPW	0.310956628539835
SFXN2	0.311046451910326
HIST1H4E	0.311253077131328
ERAP2	0.314064574159261
DNAH3	0.315205795191358
SPTBN5	0.317240041441796
MRNIP	0.318359623569173
MUC19	0.320371576396813
LPO	0.321928112344954
OR52I2	0.322290792020486
FAM227B	0.323390961969051
TMC2	0.324236874057234
IFI44L	0.326010480768444
ZNF677	0.326349282671298
BABAM2	0.326561483595554
TTLL10	0.329548772792629
COL7A1	0.330381203732546
DMGDH	0.33099771464389
SLCO1B3	0.333568938990006
SMYD5	0.333702912653796
CD44	0.334228388123904
CREB3L3	0.335257197417821
RETSAT	0.335435071231741
C12orf56	0.338326116589419
UNC93A	0.33867784608905
SPHK1	0.339055991760127
TRPM2	0.339066791507062
LY75	0.339366744283032
ADAM29	0.339912934092598
AMZ2	0.341043241051591
HAGH	0.341357532786498
PTPRH	0.342393205628485
ULBP3	0.342843961947861
C2CD6	0.344175076922966
TMEM144	0.344977055715578
RP1L1	0.345202379790874
POMGNT1	0.346554198410163
HEATR5A	0.347413405753918
SNAPC1	0.34754902585248
CLCNKA	0.34882625614765
MS4A12	0.351495246398849
ADAM20	0.351588976159908
HPSE	0.351811666023072
RADIL	0.35197636859466
OVCH1	0.353330844425586
GAL3ST2	0.356126290769811
CES5A	0.356942855587852
LRRC55	0.357126395796741
ALDH1B1	0.358526146917319
ACSM2B	0.364421301501524
ENGASE	0.364670596095735
TLDC1	0.366036631479861
OR4D1	0.368315481722428
PLA2G4F	0.369293790620735
PON2	0.36963971613418
BMP2K	0.369761032922646
ZNF229	0.370382488170271
FCHSD1	0.374446340090297
ITGAM	0.374569375321473
HIST1H4B	0.374665835747078
POTEA	0.375926232932124
CCDC66	0.377818227918436
ZSCAN12	0.379352044404664
PUM3	0.379444007920206
COL6A6	0.380131908312729
SP100	0.380624800640307
OBSL1	0.381433641871693
CMYA5	0.383294420204491
COL24A1	0.385866923255014
TRUB2	0.386208670066417
C12orf80	0.38724654303319
INPP5B	0.387724457866336
CCDC17	0.387912906268533
JAML	0.388488361785996
VOPP1	0.389181492003009
OR3A1	0.391984524508989
CASP5	0.393550442920596
RNF224	0.394953980664123
MTHFD2L	0.396193220560265
DNAH8	0.396354014768994
NTN3	0.39846507547836
CHP2	0.398766415623111
NUDT8	0.402055291335581
FOLR1	0.40493849632778
RERGL	0.406073288279731
PAXBP1	0.406494564944013
LIPJ	0.406514252744536
EXOC3L1	0.409468273770652
EDN3	0.411403869607507
SULT1C4	0.41291977277689
DHX58	0.415184455321163
RBKS	0.415576617150542
METTL24	0.416130860141028
SDR39U1	0.416531784028486
ABCC11	0.417371679998208
CNGB3	0.418475237844752
R3HDML	0.419853593398643
CLEC4M	0.419913034466419
NINL	0.421011408205187
GJB2	0.42594788060584
PRM3	0.426392657611703
FAM111A	0.427793131075718
UNC45A	0.427828959962713
PAH	0.428339540080243
OR4C15	0.428897532456908
TRDN	0.430627082094817
MAPK15	0.431507465199574
ENPP3	0.432297157203039
COX6B2	0.432945790067784
STK32C	0.436617319929126
DOK7	0.436965450898221
ALS2CL	0.437073248284908
CPXM1	0.437622314362672
WNT10A	0.437730779445569
CARD9	0.437752151322333
CEP290	0.438681385396016
DNAH1	0.438787424570773
NES	0.438970078351756
OR2M3	0.439410094223576
RAD51AP2	0.439563039322284
STK11IP	0.439629547374506
FSIP1	0.440040283497727
PRB2	0.440605749996474
EFCAB6	0.440684210668257
ADGRF3	0.44104480778753
FRAS1	0.441149599273787
DUOXA1	0.441229778172378
SYCE1L	0.441509556072459
KCNK16	0.442210508429637
RGPD3	0.446386673104019
ESF1	0.448250190624133
ASPH	0.449286103741315
LAMA4	0.449406302703356
RBM43	0.449832269737598
SLC22A10	0.450250402719208
ASB15	0.45030541879335
ZNF44	0.451570570425499
PARP3	0.451624614321742
ZNF534	0.454148493666908
POLN	0.454700917732186
ACOT8	0.454796137504933
ANO5	0.456517439056156
MYH7B	0.456591006835319
USP35	0.456710818136667
FAM174B	0.45790021414792
FAM173B	0.459063911419869
GSG1	0.461290251527477
ZNF845	0.461335768572473
