gene_name	p_value
GLI1	0.00456110571041524
SULT1C4	0.0188688420757556
CYYR1	0.022729193508818
IFIH1	0.0284766498229518
STK33	0.0317025014957772
PADI2	0.0326736685355875
CENPW	0.0346409225601777
GPR142	0.0392029509224384
EYS	0.0418638533039912
ALPK2	0.0431584373302463
UGGT2	0.0434065645744391
ADAM29	0.0435332687014754
COL6A5	0.0443791756082161
RPUSD4	0.0532513193929292
ATP8B3	0.0546471967286074
CLCNKB	0.0569644446957105
ENPEP	0.059891389645104
CRB2	0.0603537808401863
GPR151	0.0627794942122333
PON3	0.0655109032478108
OSCP1	0.0673164543067026
CARD9	0.078856096485259
KCTD18	0.0831360353213504
UNC93A	0.0831473777309713
CFAP46	0.0881189316491038
GPLD1	0.0908740260707057
RADIL	0.0915530674421408
DNAH7	0.0930398690997938
TMC2	0.095800412549094
DHCR7	0.100875309479531
NRBP1	0.101484011039025
CDRT1	0.101882400407961
ATP2A1	0.105235122804598
OR51G1	0.112581786837366
CNPY4	0.11391720515343
GTF2F1	0.117746684632122
IFI44L	0.120772869009296
HLA-DQB1	0.134067809086792
PSMB11	0.146709036653168
ABCC11	0.147717477344555
FAM83A	0.152329040442112
TKTL2	0.157394685929188
ZNF528	0.158918584702622
EDN3	0.164851887349099
ZNF440	0.165468411349702
SLC10A2	0.16694763597029
ABHD12B	0.168720475780396
ANKRD30A	0.176844076543009
C19orf71	0.18056701914946
NBPF3	0.182482095708092
MUC17	0.185529695825762
POLN	0.186642075671364
ADAM8	0.187591146000624
SYCE1L	0.197219639525064
KCNU1	0.19851370335459
HPSE	0.199598962807207
LPIN3	0.202486281494687
TMED3	0.204847166751679
NEBL	0.216014315545206
PRM3	0.216901039580852
OXA1L	0.219394762232973
CFAP157	0.230783160522476
CYP2C18	0.233432299128166
C20orf202	0.236394948751249
CLHC1	0.236432340597575
ECT2L	0.242009745620239
NR2E3	0.242713607158067
ZNF343	0.24415855640043
PPFIBP2	0.245032276686934
FBXW8	0.245336769874478
NEB	0.246206982627097
CCDC40	0.258064593487489
RAD50	0.261966885646548
WDR27	0.263385806934118
HS3ST6	0.269383497018637
SKA3	0.284197669803979
SMYD4	0.284409234939061
C8orf44	0.286958673903652
CEACAM21	0.290236705392881
AFP	0.29073380412686
TNFSF18	0.292250317910934
VPS33A	0.295137266714105
MYO15A	0.296005564046725
CRYBA4	0.303889413232996
CCDC154	0.30394024478221
ZNF655	0.308945559028513
ARHGEF37	0.309047580921482
CNGB3	0.311529400353466
HAL	0.31287519485113
AGBL1	0.313910317858303
SYNE1	0.315755559447539
CARS2	0.316771161786064
MYO18B	0.319146080635174
TLDC1	0.319759799495317
C8B	0.323128801337591
GOLGA6C	0.327543940196115
ACOXL	0.327590863269527
CHEK2	0.327669310807053
SLC39A7	0.329220493737051
PCK2	0.333634453364233
COL23A1	0.341207823310129
FAM221A	0.342434433654422
FRMD5	0.34563815567157
SKP1	0.352182819925514
DBF4B	0.354374781153628
ZNF776	0.366576438674775
TRIOBP	0.367720360221768
IMMP2L	0.372718812272895
EGFL8	0.373033549492243
CEACAM7	0.375285102167946
NEU3	0.381581241834935
MICU2	0.381983539336122
RGPD3	0.384028228511066
CCDC17	0.388989850356639
ZNF544	0.390339183720919
SLC16A8	0.394028647509137
CD44	0.398354815085426
NEURL2	0.402869040423172
OR51M1	0.403891202935157
DCHS2	0.410618876530103
DNAH8	0.411519552422358
IGFLR1	0.418207245653135
ANKRD20A1	0.419573166241359
NINL	0.429618783225594
PLB1	0.43095458168541
KRTAP13-1	0.434312396629911
CCDC87	0.441452447743413
ITIH5	0.443405112141555
TOGARAM2	0.444769105764506
CTSW	0.44709511974816
STK32C	0.45023134734341
ZNF229	0.450544694221005
LIMS1	0.45606074304256
PACRGL	0.456346653886744
CRNKL1	0.458581469958699
FAM81B	0.458826161472352
EXTL1	0.460529298278247
MED19	0.463550554922684
FAM71A	0.468465254850646
RERGL	0.471205566725792
PIWIL3	0.473296903769219
DUSP27	0.477746044288837
ZNF713	0.47902094499566
PON2	0.480719356460839
MTMR11	0.48250600894183
OBSL1	0.482968856777933
SPTBN5	0.483596037097767
FAM186A	0.491738955343488
DUSP16	0.496175038568355
POTEA	0.497349665902152
RABEPK	0.498148671944805
ZC3H8	0.504667023123412
ECHDC2	0.50652630405372
ASPSCR1	0.506856592559003
HAS1	0.508467405413988
ASCL3	0.509335711633515
KIAA1257	0.515600426384484
C5orf42	0.516652154289238
ULK4	0.517045578950504
FAM200A	0.522251288356045
CYP3A5	0.522972853941202
ADGRF3	0.529457395981812
FAM174B	0.534027815375889
GGN	0.538519111119878
TRANK1	0.542712169486885
CCT6B	0.545804121933672
MYH7B	0.547258865827159
ACOT8	0.548623684773096
SVOPL	0.554730532627643
MUC4	0.555190740608932
PUM3	0.555850205856772
UGT2B10	0.559702958121857
USP45	0.559866192547043
DDTL	0.569724998361394
OR4D1	0.570015679363263
STK11IP	0.577170848704859
EFCAB5	0.57786151446362
MAMDC4	0.578627105956187
DPYD	0.581329272649421
POTEC	0.590912900309254
MICB	0.592595795330429
ZGRF1	0.594952890237592
MLNR	0.595570519076469
NUDT13	0.600800412229483
MUC16	0.60123949790319
OBSCN	0.602559916576355
ZNF676	0.606663437092753
IL17RC	0.616533621959726
ABCA7	0.623596063475502
MAP3K6	0.627213476509342
CYHR1	0.633068307853793
DNAJB7	0.633460464728161
ERAP1	0.633524191759746
FAM111A	0.633724101357366
ABCA8	0.637564869797096
RIPK3	0.639562564741833
NPVF	0.642780360706939
CCDC168	0.643524354271097
CCDC66	0.649556847957348
ZNF772	0.653829821980436
PDE11A	0.655795586365096
NDUFA5	0.656558994867944
CNTRL	0.65705342386298
FAM166A	0.658135249314903
TRUB2	0.664052665989278
PIK3C2G	0.666048580620619
ZRANB3	0.671969289337992
ANO7	0.674969878128873
SSPO	0.678857374693162
LTK	0.67972028520802
ALDH3B2	0.680105333187851
ZNF268	0.680296404543825
BPIFB3	0.682914887383632
HNRNPA1L2	0.684633818524751
PDCD1LG2	0.685468040485986
XIRP2	0.687525746212446
HGFAC	0.69097481893889
C17orf77	0.691487170665907
ADGRE2	0.692258827922889
EXOC3L1	0.695030034443024
C6orf203	0.697616577984145
CNTLN	0.700609761545913
WASHC2A	0.701589209045234
DNAH14	0.704240946395187
POLQ	0.705604630997844
TRPM2	0.706117037623455
TTLL10	0.706291849797234
SI	0.708723261310892
GPNMB	0.714301020726481
ZNF226	0.716636219449139
SDSL	0.718586723392081
AGMO	0.725874305491669
DAP	0.739394367499796
MYO1A	0.739720354724347
DPEP2	0.753525816652084
MRPL32	0.755452603838625
HRNR	0.757453336646981
TMEM247	0.759192574339583
KPRP	0.761230905290322
DLEC1	0.762456049509534
ABCA13	0.764230988121809
ARID4A	0.76808390119363
LIPJ	0.770370141945923
OR7G3	0.773949160388217
SEPT10	0.783165916613879
LEXM	0.783304090211721
VWDE	0.784571514309513
MFSD12	0.789341142475132
DUXA	0.797600783076425
SFXN3	0.799017243559643
MSS51	0.800822957485391
FAM83H	0.802371533051875
WDR97	0.806742383420412
UPK2	0.80754094953637
ZNF677	0.807773962992501
ULBP3	0.811340414968284
LPA	0.811438815928827
TLR1	0.816871546822467
NLRC3	0.81796086323721
CCDC178	0.818190806053633
CCDC171	0.819751260211876
DCAKD	0.821026006104592
BTNL2	0.821291025186461
PTGER3	0.821947938544284
EFCAB6	0.823037874433917
FLG	0.823540332075332
MMP1	0.823823125562196
HMCN2	0.825191218241553
RBKS	0.82603478384046
GJB2	0.83075364962125
DOK7	0.831044258475944
LOC101928841	0.834825278294891
ASB6	0.837058812300767
TLR10	0.839651508515103
C10orf53	0.849486260901092
KCNK16	0.858174290151559
DNAH2	0.859127889804238
THAP8	0.860287260005744
SLFN12L	0.863300500587209
PTPRH	0.866885788767077
GNLY	0.868573754356655
SERPINA10	0.870699780698104
GCNT3	0.873399569828237
CALML4	0.877200598818005
OR3A1	0.885579553645442
CFHR5	0.885699616798987
COL9A2	0.885857571124971
IGFN1	0.886669038038795
MROH2B	0.892406562032683
DNAH1	0.894442142379085
ADPRH	1
DOLK	1
EIF5B	1
EPX	1
FCGR1A	1
GAL3ST2	1
GSG1	1
HHLA2	1
IFNA5	1
KANK4	1
KRT77	1
LRTOMT	1
MUC19	1
NUP214	1
OARD1	1
OGFOD3	1
PTCHD3	1
RRP15	1
SLC26A10	1
SLC7A11	1
SPATA33	1
TBC1D5	1
TCHH	1
TMEM134	1
TYRO3	1
VIT	1
WDR87	1
