gene_name	p_value
FAM173B	0.0025506252640447
C6orf52	0.00478594145462852
MED19	0.00556086667148925
ZNF506	0.00561231472873691
ITGAE	0.00723757533337199
ADGRF3	0.00857570617059711
MUC4	0.0148049299844695
CRNKL1	0.017870230541759
ITIH5	0.0219349591960464
SH2D4A	0.0248026406046413
POLQ	0.0309387485397645
CCDC168	0.0411269590887345
DNAH14	0.0490405797727153
PDCD1LG2	0.054579682797347
TRPM4	0.0606054596429626
CNGB3	0.062152106000638
CWH43	0.0623486430362541
PDE11A	0.0627455290854569
ENPEP	0.063298218876773
ZNF772	0.080570728555208
IL33	0.0816287759463953
CNTLN	0.0825918172082749
TTN	0.085172162658966
NBPF3	0.0859959779923397
VPS33A	0.0862931775215483
ZNF528	0.0880857329465367
EXTL1	0.0917152249355522
GPR151	0.104581358329777
OXA1L	0.105707145229128
SYT15	0.108005412180067
NTHL1	0.109414598700556
MUC12	0.123371069818807
TMEM247	0.124472117280123
OR4D10	0.129121357341245
FLG	0.135416866096926
RGPD3	0.137051115592775
GH2	0.137681219717405
PARP3	0.137901781180772
PTPRH	0.140315298670801
DDX60L	0.142628190629099
M1AP	0.142702840981294
ABCA7	0.143570854901664
OR10C1	0.143701183783677
DHCR7	0.147351098686286
DBF4B	0.148197704793356
IFNA5	0.148528155155854
C16orf74	0.150876569412563
ULK4	0.151075138810374
ASPSCR1	0.152034402600863
ADAM2	0.15303597736362
FAM221A	0.154561058005488
SMARCAL1	0.154769176652971
ZNF211	0.161594545845854
ZNF534	0.165692212160801
RABEPK	0.169716662456156
GTF2F1	0.176841234185137
RIPK3	0.196252174553791
ARHGEF38	0.196320775090025
DPYD	0.197164432302998
RP1L1	0.197280975604704
CALML4	0.203896102468711
SH3TC1	0.212975641272935
LIPJ	0.215726168209163
C10orf53	0.223723533990671
TMEM249	0.225730605124393
TMC2	0.226052571277026
PTGER3	0.227733514075712
IGFN1	0.232293613823498
GOLGA6C	0.237958767662502
DNAH2	0.240367882142144
FAM71A	0.245092114996291
CCDC87	0.24795237656436
MUC16	0.249453370045373
DNAJB7	0.250059167923879
SAXO2	0.252643668229385
SERPINA12	0.261315465244361
KRT74	0.263857713378699
CCDC105	0.265326603565812
UGT2B10	0.272146395036441
MROH2B	0.272689027807392
STK32C	0.278645950317621
IMMP2L	0.281766376507511
CFAP46	0.283967420362054
SPATA33	0.28523998307868
SLC26A10	0.287653123342803
SEC31B	0.2982881270517
LILRA2	0.299333663168904
PTPMT1	0.300065662192429
CPA4	0.30030917741894
GJB2	0.300975185032038
KRTCAP3	0.301621564662775
TTC6	0.303847530332734
BFSP1	0.305893963622984
KIAA0930	0.307524134742172
SLC25A2	0.30762995978629
C17orf80	0.307673457265149
PIWIL3	0.309502526883907
TMPRSS9	0.309798494953475
RAPGEF3	0.314700283328487
C17orf77	0.316246774395641
FCGBP	0.3185165901086
CUBN	0.318617559805463
