gene_name	p_value
RBKS	1.5751135005071e-05
FSIP1	0.000790049906883694
SLC25A25	0.00205945677234121
ZNF506	0.0030351964523686
TSTD2	0.0039670773978141
PSMB11	0.00411111439209522
CLCA4	0.00488354929175949
DOK7	0.00739426726511405
USH2A	0.00761220861008638
SLC17A4	0.00771199713985338
UBQLN3	0.00803553168040771
ZNF233	0.00845386953053384
DUOX1	0.0112969022768366
PLCH2	0.0114813653581792
XAF1	0.0126007349504276
UPK2	0.0126964012738908
ASIC3	0.0149913708324538
SKOR1	0.0165315132928072
STK33	0.0174654071809095
ZNF266	0.018455360158863
M1AP	0.0197616263455663
LAMA3	0.0201888245256671
AARSD1	0.0218187067479265
KIAA1614	0.0221705759325717
FAM173B	0.0226544568880027
TRPM4	0.0226911688166131
NBPF3	0.0234887433993375
ASB6	0.0237139660081723
COX6B2	0.0248019234905132
MAPK8IP3	0.0256146525468012
OBSCN	0.0273870802703153
GMPR	0.0280791284507894
KCTD18	0.0288415167593351
PPP1R3D	0.0288726000251182
SLC7A11	0.0294676726621883
CNGB3	0.0298647017937183
DYTN	0.0303943383689349
R3HDML	0.0310386388606964
ABCB5	0.0353440069600427
ATP13A5	0.0355330169823163
TPO	0.0380451713443968
SPHK1	0.0397333536931853
ZC3H8	0.0402863687383092
MFSD6L	0.0406321382680027
SDR39U1	0.0415057208560108
OARD1	0.0415386959915348
ZNF268	0.0450089943091376
HSPA6	0.0456734238038268
OGFOD3	0.0469648436558869
BAG5	0.0480035337433729
FANK1	0.0480660568505905
AGBL1	0.0491389073535369
PPP1R3A	0.0495695891302925
PLA2G4D	0.0519145549448577
CLCNKA	0.0529097089910472
OR6C70	0.0531481382705966
MAPK15	0.0534289658860221
ADAM20	0.0550957346659682
ZNF713	0.0563726256768649
SERPINA10	0.0583915359980905
POMGNT1	0.0594335181279798
CFHR3	0.0601115065020911
ZNF211	0.0640194536320737
ASPG	0.0640589556071021
CFAP157	0.0642244009368447
HMCN2	0.0649568677626512
ZNF229	0.0664384298835047
KRTAP13-1	0.0672234663280995
KIF6	0.0676430288703365
ZNF90	0.0676567921994159
IGSF10	0.0681649547915216
B3GNT4	0.0689272449810852
CD36	0.0716636640540121
ARVCF	0.0723032331902141
CARS2	0.0742584233325386
EGFL8	0.0756135884900172
MYO1A	0.0765140325389163
PUM3	0.0789251960315704
WDR87	0.0809429003919176
SECTM1	0.0826597834823135
C12orf73	0.0833945751312174
PXK	0.0838204399939395
ABHD12B	0.0876104098041327
FANCA	0.090247957010375
CDRT1	0.090418182092566
ZNF845	0.0904318389457829
FLG	0.0904388167696567
SRRD	0.0905095448702494
HABP2	0.0913192934405913
GBP5	0.0933560658583983
FASTKD3	0.0934764344165661
KALRN	0.0936502575949336
LRRC74A	0.0954006271156579
PKD1L2	0.0961711444237786
GJB4	0.0983384793604565
DCLRE1A	0.0986857830699978
PLEKHH2	0.102738321668357
MIA2	0.102769146489274
CEACAM7	0.102813837339606
CHMP4A	0.103754425804226
SERPINB4	0.104100793894121
SPNS3	0.105033901285619
MICU2	0.105103333024745
TRIM38	0.107175005846982
FAM234A	0.107675520231028
TMEM249	0.107840665277987
ABCC11	0.109099939692795
ENPEP	0.109130489538065
ISX	0.109181619643724
FCHSD1	0.110255448914306
SDSL	0.114225513578121
TLDC2	0.114235454017549
IGSF22	0.114691671303007
DUOX2	0.114966573564681
ABCA9	0.115109528119455
A4GNT	0.115475849781692
PGK2	0.116024992504823
KCNU1	0.118507352755459
CWC27	0.120817898810995
HAL	0.121761880182015
FAM221A	0.121792731224828
OSBPL1A	0.122277530816791
MC1R	0.122604111708554
SI	0.124091095759719
OBP2B	0.124500941494889
CRB2	0.125838911397442
ARHGAP40	0.129758785789519
JSRP1	0.133813177359147
LRTOMT	0.133821050893341
MEGF6	0.13549960185971
IFNE	0.13563185003868
CFHR1	0.137186392482964
BFSP1	0.138210105962465
PRM3	0.139278324758196
TAS2R3	0.141051272910325
WDR27	0.141833240150681
ASB15	0.141994321074405
PLEKHG5	0.142443541440073
SLC16A8	0.143043073978948
CRNKL1	0.143087662714282
MROH9	0.144848274311724
ANKRD20A1	0.145199641862774
MFSD12	0.147663008592859
RGPD3	0.147934368725844
CPXM1	0.148118260659982
EGF	0.148155317782407
RASA2	0.154170863319607
DNAH14	0.155217085878587
MUC17	0.155659528764572
C9	0.158066950720426
LIMS1	0.159027298284739
MTUS1	0.159129483421585
FAM174B	0.159759078506392
GPNMB	0.162170762443047
CCDC66	0.162480682778811
VPS9D1	0.164738712701378
PACRGL	0.165876294053787
PARP3	0.166015009547327
TP53AIP1	0.166505828795491
ECHDC2	0.1665252714951
NTN3	0.168286551542198
STK11IP	0.170454739909706
FLG2	0.171856717531335
DCHS2	0.173004375265302
ZNF655	0.173236885023993
YIPF2	0.177058352034933
MYEF2	0.17869870489377
ABCA10	0.178988542294559
AKNAD1	0.180391523713035
KRTAP29-1	0.181042701084033
GCNT3	0.181300646314795
ZFP69	0.181400027616966
TGM7	0.182437536642236
PARPBP	0.182697931821554
TRDN	0.183184471553149
NDUFA5	0.183458563281188
MGST2	0.184361179013141
NT5DC3	0.185107464244414
MUC4	0.18617722331985
MGAM	0.18682733560898
USP6	0.187365523332537
RGS11	0.187732093499814
TSNAXIP1	0.189039459790268
MTHFD2L	0.189122884699354
MATN4	0.189216839194867
GGN	0.19087608850231
COL23A1	0.191106389195427
C4orf26	0.191280130718246
LMO7	0.191494316287325
SEC14L3	0.191564433679694
SCNN1D	0.192714697833605
ANXA1	0.193498842616732
SLFN12L	0.193701388340917
KIAA1328	0.195219142501416
CROT	0.196519053319082
IDI2	0.199723276203507
CLRN1	0.20164656674673
C17orf80	0.202089275531917
NR2E3	0.202208745259363
PLB1	0.202670220808319
FAM111A	0.202760364984801
BRPF3	0.20392802138618
BTN3A3	0.204052334376747
TNFRSF10A	0.204459103816086
MED19	0.204503731454242
C15orf48	0.204987060798418
ABCA8	0.20504217564764
CCDC87	0.205144862525874
IQCE	0.208074991225328
ZGRF1	0.208391126744772
ZNF142	0.208819752908111
SVOPL	0.210724966184027
MMP19	0.211240799045334
SPATA33	0.211956505894438
PPIL2	0.214474182284234
CCDC146	0.214517445730659
FAM83A	0.215608676102875
SMPDL3A	0.21627987044635
ADGRE2	0.216783661198432
RHNO1	0.216839949579677
GCA	0.216848611321604
NBPF14	0.217078320780815
MYH4	0.218901072082402
DNAH11	0.219600935918405
POLN	0.220272342894106
MSS51	0.22070526697583
CYYR1	0.220833646512459
CALML4	0.221069737473095
PSG8	0.221592673251337
TEX14	0.222184618778943
NUDT13	0.222299986269209
EXOC3L1	0.224730676937774
DUOXA1	0.226349614806976
ZNF226	0.229106290190404
RGL3	0.231281289556471
S100Z	0.233260614637505
TLDC1	0.233391197430299
KRT82	0.234453528330633
SPINK5	0.234478195699458
HMCN1	0.234568802433451
CTSW	0.236144592373752
CELA3B	0.236307624338731
USP8	0.237664083077644
STAU1	0.238519170290794
OTOG	0.238589304705439
FCRL6	0.23879127182206
APOB	0.239090373571312
GPR151	0.240166276988954
SZT2	0.240589166679709
SGSM3	0.240990850038866
WDR90	0.241421476137595
CREB3L3	0.244717164898318
RIPK3	0.246803388888659
LPA	0.247831029581399
SMYD4	0.248741340448611
ZBBX	0.249772319214811
LILRA2	0.250475234176945
HEXA	0.254107848212196
EFCAB13	0.254506319963231
CUBN	0.255685795517878
ZNF519	0.256539183865488
DBH	0.256620970848404
FAM227B	0.25725459934876
ABCC3	0.261075813726725
DNAJC1	0.261117476969469
ANGPTL6	0.262324180515218
CEP78	0.262986093857367
FCGBP	0.265097954776734
PRSS57	0.265104630415165
ITGA10	0.266107863187427
COL6A5	0.266650116911188
UGT2B10	0.268771008083136
NES	0.269029722215468
CNPY4	0.271092596804214
SLC27A6	0.2713284484579
RAD51AP2	0.271778606025658
TP53I3	0.272389572293239
ANKRD31	0.273956090767359
UGGT1	0.275207193087158
ZNF2	0.275522622338738
HAP1	0.275856664507684
CEP250	0.276203691321289
DHX58	0.277212062340588
FAM13A	0.277987351438678
KCNJ16	0.278740707182258
WNT10A	0.279755556722377
ALDH3B2	0.280992146385173
HNRNPA1L2	0.281368853603172
SERPINB3	0.282544513684925
ACOT4	0.283191835736683
PLEKHG4B	0.284171287667376
ZNF418	0.285139074075703
GOLGA6L2	0.285600744774397
LTK	0.285799137952396
CHIT1	0.286247987197392
FGFRL1	0.288964615447381
ULK3	0.289947321077049
ZNF214	0.290229862866001
PKHD1L1	0.290451010763398
MAP3K6	0.290523522125392
TRPM2	0.290750880287533
ARL6IP4	0.291014722854458
CCDC14	0.294315367920219
CHEK2	0.295242428420381
ANKRD30A	0.295465488436788
GPATCH2L	0.296445661006087
EPX	0.296822618747033
CELF2	0.296913782734708
ATP8B3	0.297638408292032
DDTL	0.297903698817405
CXCL6	0.299255482893662
PROM1	0.299530728553255
ULK4	0.300652611913076
TMEM134	0.301408228910995
C8orf44	0.301725104370672
OR5H15	0.301890374574863
CPA4	0.302478133402644
LTB4R2	0.302718847615178
KPRP	0.305368097153767
SEMA4B	0.30586923962345
GZMM	0.306313204797437
KCNAB3	0.306957089929439
FBN3	0.308581563451347
OR6P1	0.308982004431816
ARHGEF37	0.312455920405416
CES5A	0.314308255431916
DOLK	0.314890186651305
SULT1C4	0.315839742134585
SMLR1	0.317140156783313
SLCO1B3	0.317245847255269
SEPT10	0.318853860482823
SPATA31E1	0.320524326099199
ALS2CL	0.321058970951834
FAM109B	0.322006015520332
AUNIP	0.323317627624855
MYO18B	0.325032477158782
ZNF599	0.325434879441194
GDAP2	0.327257092993393
JMJD7-PLA2G4B	0.329753848474893
CD5L	0.330233125843097
PKM	0.330827804502626
RGPD4	0.33182032801857
DUSP16	0.332300228519445
SMYD5	0.337540363360115
ZNF44	0.338234230217857
PIK3C2G	0.338642824825743
MUC12	0.339150880887148
NAA16	0.340233926423407
ENDOG	0.340893555369603
NEURL2	0.341774710206779
CFAP57	0.342082254642989
ZNF486	0.342214502141845
TMPRSS9	0.343107558298234
TRUB2	0.343412217770997
MYOM2	0.343518028155616
MYH8	0.344491054796962
HKR1	0.344847209401007
MICB	0.344893035575222
ADGRV1	0.345105935063211
GANC	0.346042076436731
HS3ST6	0.347314627817091
ABLIM1	0.349909259889128
BDKRB1	0.350820268244606
TTC3	0.350899688170238
GJB2	0.35296046307396
CEP95	0.353950891896819
PLA2G4F	0.355074052783433
OR10AD1	0.357699934008967
C16orf74	0.358491228279778
ADAM18	0.360655519072175
CRYBA4	0.361697433137589
HNRNPU	0.362311947657864
LLPH	0.36403731373181
EXTL1	0.365922073388944
HAS1	0.368886941706072
PPFIBP2	0.369422605612308
PRSS33	0.372708020453568
LIPJ	0.377789639548397
CEACAM20	0.379128295859684
C9orf85	0.37921988393283
SLC25A2	0.380692035895006
UGGT2	0.380971124624411
CLCN1	0.381824411312701
BICDL2	0.382414949779848
POTEA	0.383619529507138
PRAG1	0.385054669032604
SLC22A11	0.386490419579829
ZSCAN12	0.387572511494163
POLQ	0.388287928480096
VWA3A	0.388574434838174
MICALCL	0.390208339323678
LPO	0.390640748976706
DAP	0.391255425215849
NAT1	0.392668142888755
CCDC168	0.393107793077993
PRDM15	0.393943330649884
ITSN2	0.394365125268641
SLAMF8	0.394382659911769
HLA-DQB1	0.394633287902943
TTC6	0.396465578215678
CSAD	0.39759498697664
HGFAC	0.399644666641663
PON3	0.399961616568975
DPEP2	0.400943979872451
SLC10A2	0.4032722462721
PZP	0.403310529611613
SPDL1	0.404695594185282
MAN2C1	0.405105617025068
CYP2C18	0.406106335836348
HAGH	0.40833934278902
MROH2A	0.408415174812628
CCDC178	0.408834821424728
LTBP3	0.410165265954979
EIF5B	0.410753858591549
CLEC4M	0.41078570662017
