gene_name	p_value
FAM173B	0.00172862112058147
BTN3A3	0.00306781019700875
CNTLN	0.00640653407651115
C6orf52	0.0106390344384579
NIPSNAP3A	0.0155912004999453
EXTL1	0.0185282164294339
MUC4	0.0186363638190506
ZNF528	0.0206550249404414
POLQ	0.0215298341929964
RIPK3	0.0215895076151644
ITIH5	0.0243286198959856
CRNKL1	0.0261534153378903
TMPRSS9	0.0282595540572219
NDUFA5	0.0353146697332878
EDN3	0.0372392336626707
ASPSCR1	0.0380109874309821
TMEM249	0.0469969852174598
CCDC87	0.0490315699259793
MUC12	0.055536873015599
TRIM31	0.058984314885266
CCHCR1	0.0625753272994046
HLA-DQB1	0.0670478230297852
PLB1	0.0704014490432511
M1AP	0.0710793975821585
HHLA2	0.0711785829416945
OSCP1	0.0740728895388733
NBPF3	0.0752247918032681
ITGAE	0.0773507182174039
FLG	0.080724005476833
DPYD	0.085301972587688
CWH43	0.0861111681190003
KIAA0930	0.0861190754010186
C10orf53	0.0888021285540334
KRT74	0.0944577664743691
IFIH1	0.0952194865378224
SFXN3	0.0953640235845874
DNAH14	0.096502938018756
SEC31B	0.096760403441171
FAM221A	0.0981217175280855
WDR27	0.101094359889818
GAL3ST2	0.101388542487102
GH2	0.102966454757012
GTF2F1	0.104078351234839
SMARCAL1	0.109011265832944
PDE11A	0.112218353087192
SLC22A10	0.117024493359433
C17orf80	0.117540054488566
ZNF506	0.122075389911682
C8orf44	0.122620598719286
EFCAB6	0.133628000462862
WDR97	0.134546271414801
TRPM4	0.136848455675253
PARP3	0.141493617366626
ZNF107	0.144527554138179
ENPEP	0.147107731336222
FASTKD3	0.149421674114544
DNAH7	0.158633981650027
RAPGEF3	0.160386998478224
DHCR7	0.173378119749783
ZNF543	0.176352777252594
LEXM	0.178601460170992
ZNF534	0.180690627095881
SLC22A25	0.183558557370321
C1QTNF8	0.184863479459777
GOLGA6C	0.186319777607248
C19orf71	0.189662104663192
INPP5B	0.191797626067432
NTHL1	0.197556338241259
OBSL1	0.197746143623809
SKP1	0.202870801917015
SH2D4A	0.209044359293086
SLC26A10	0.213241410633487
WDR87	0.217488682923559
CALML4	0.218554280345852
ZNF772	0.222309812044601
SYNE1	0.222641872492014
TCHH	0.223722455893396
ZC3H8	0.238447640719845
IQCE	0.239913576386146
FCGBP	0.241085820855482
DNAJB7	0.241464877234176
CCDC66	0.247122732835291
ATP8B3	0.249977100734538
RECQL	0.255946074192125
ULK4	0.272660721078376
RP1L1	0.27560635277037
PTPRH	0.276483581297145
OBSCN	0.277083045267513
BFSP1	0.281990417153656
ADGRF3	0.285620851189387
TOGARAM2	0.288648429404844
CRYBA4	0.28894269426424
ARHGEF38	0.294044671214182
LOC101928841	0.294573796826372
DBF4B	0.296999873807692
ABCC3	0.305581922344903
FBXW8	0.308565447969895
CSH2	0.312199568890714
DDX60L	0.314530437908418
ZBED6CL	0.316625961210686
ABHD14B	0.32441245060778
IFNA5	0.324942294616946
BMP2K	0.326528571072159
CCDC81	0.331213578143795
DNHD1	0.331388995252153
GPR151	0.331450641903721
AXDND1	0.342422155564915
IMMP2L	0.345533454667748
MROH2A	0.34916035375216
CCDC168	0.350459138201069
GZMM	0.35113911936099
SLC16A8	0.352212931993049
WASHC2A	0.354484983474564
VPS33A	0.354818642236149
SERPINA12	0.355377017689527
ZNF211	0.356248652315907
WDR90	0.364199946832898
PPP1R3D	0.364459511297853
KIAA0040	0.364471935606464
LAMB4	0.374008079971602
HSD17B13	0.374727097566376
SLFN12L	0.377051825451983
TMEM225B	0.381050160936794
PKHD1L1	0.387124043775927
UPB1	0.387931773928755
SSPO	0.389615499071748
COL6A5	0.395996904712977
C16orf74	0.399392614021607
TMEM247	0.400116889481348
TTC6	0.402078740097709
IL17RC	0.404163707861755
CPA4	0.404266350788082
CARD9	0.418283933113878
CLEC4M	0.418301686225185
CTSW	0.421909208630706
MUC16	0.422575580404168
