gene_name	p_value
FAM173B	0.000466889989085395
MUC4	0.00770363631700743
CNTLN	0.00884293963091509
POLQ	0.00920160102256251
C6orf52	0.010080587984003
ITGAE	0.0168342551020373
ZNF506	0.0170072272276973
ITIH5	0.0173033850161118
CRNKL1	0.0175064291971693
EXTL1	0.019411404514327
ZNF528	0.0287109013945832
BTN3A3	0.0351259031187067
RIPK3	0.0356048334032818
FLG	0.0385781241334882
DNAH14	0.0398743385671306
SH2D4A	0.0489546878648577
ASPSCR1	0.0567867473716206
TMEM249	0.0574856287364397
CWH43	0.0581468937019824
MUC12	0.0587256484480568
PDE11A	0.0649398316198706
ENPEP	0.0676973995711994
NBPF3	0.0730621408218608
TRPM4	0.0742078652304048
GH2	0.0755440518723591
PARP3	0.0791869379392931
C10orf53	0.0877866339881368
NTHL1	0.0885700926969009
TMPRSS9	0.0890055161995712
FAM221A	0.0945885715914617
IFNA5	0.098001693007667
GTF2F1	0.1023662563475
CCDC168	0.107562170262326
ZNF772	0.114726784182952
ZNF534	0.116443517618244
CCDC87	0.118107924439497
PDCD1LG2	0.120135703023156
OSCP1	0.125265820901227
VPS33A	0.125958459214282
GOLGA6C	0.127904736213515
KRT74	0.129719186254955
RP1L1	0.131469584856147
CCHCR1	0.131892813548457
GAL3ST2	0.132723699044358
HHLA2	0.134040067232357
SMARCAL1	0.134617575587533
PTPRH	0.139337785609876
KIAA0930	0.141163797994467
ADGRF3	0.1448860816037
NIPSNAP3A	0.148484611184479
DHCR7	0.150691545609558
SLC22A25	0.154133387773548
M1AP	0.154133412625606
C17orf80	0.155864240365917
CALML4	0.158342156346417
DDX60L	0.158941931975196
DPYD	0.159188149872874
WDR27	0.161259687734494
ULK4	0.162568116690713
PLB1	0.163771676243869
SLC26A10	0.167592035775606
GPR151	0.173195928086791
WDR97	0.173612004529984
SEC31B	0.174723072550962
CNGB3	0.176560675242118
EDN3	0.186116839542852
MED19	0.187824918794616
RAPGEF3	0.191711651616982
NDUFA5	0.193608222437868
ZNF543	0.198324221531001
C1QTNF8	0.210253807621125
RECQL	0.211229533733784
TMEM247	0.217296502055366
TCHH	0.218852645294115
DNAH7	0.221532168553273
HLA-DQB1	0.223029756821688
FASTKD3	0.223124100769543
DNAJB7	0.226058750873203
TTN	0.226894131165863
COL6A5	0.234802161106635
DBF4B	0.236543763491463
LEXM	0.237645888029286
MUC16	0.256594896102596
SLC22A10	0.258780659693635
EFCAB6	0.261210343157076
SERPINA12	0.262285917489587
PACRGL	0.262404561182021
IGFN1	0.265429464020237
BFSP1	0.268972533185233
ABCC11	0.273811835101379
ABCC3	0.279069532040019
OBSL1	0.289622489375946
SFXN3	0.292230833987081
IMMP2L	0.293487931662059
C19orf71	0.301687448792948
ZC3H8	0.304782839051537
FCGBP	0.307720720099161
MROH2B	0.316412920159079
ZBED6CL	0.324662803761475
C16orf74	0.325537102610167
ABCA7	0.327388251232971
INPP5B	0.329165759280888
