gene_name	p_value
CYR61	2.65173093483284e-05
KHK	7.95881641530993e-05
DDX59	8.95405900063206e-05
PAPD7	0.000103159008741804
CLRN3	0.000116405041486578
ZNF678	0.000135117268598939
OR11H6	0.000138620410402579
TYSND1	0.000196494395226954
GTF3C1	0.000197420185073405
CCDC153	0.00020055852411649
BPIFB1	0.000247666483928821
HJURP	0.000306414597419424
ZNF90	0.000307830972188783
ACKR2	0.000317178875248736
XCR1	0.000338812632994179
LRRC52	0.000353174157868619
ALG11	0.000360174872847008
TPBG	0.000397494798467291
TRMT10C	0.000444645690596879
RAPH1	0.000490374685997552
LONP2	0.000495835255190924
KRT79	0.000502285540824543
CSMD1	0.000505183721717484
FEZ1	0.000522489535899617
C2orf16	0.00054127712146157
ADORA3	0.000610361008511306
CDS1	0.000625266170210192
SSTR1	0.000680874376008611
ARHGAP35	0.000691013345076485
MGST3	0.000777583502025392
AMOTL1	0.000807130019391478
KIAA1143	0.000815200650913006
CENPF	0.00083607699817867
ANGPTL1	0.000923896266128987
ZNF501	0.0009360865107364
PDIA2	0.000952404802462614
SLC18B1	0.000964539013069587
TNKS	0.000973314651174007
FAM92B	0.0010603161169398
KRIT1	0.0011145118556094
POSTN	0.00122320011659449
DBT	0.00130308986412375
CRYM	0.00130837243411619
PDE12	0.00135685070975367
OR2D2	0.00137826086874859
SPC24	0.00138245709426477
SPECC1	0.00151596846346969
ZNF865	0.00151602151600894
ITIH4	0.00163196185024372
CCSAP	0.00165273363576068
CERK	0.00174062531214547
KRTAP29-1	0.00183747891556496
NKPD1	0.00192036883934077
MYH10	0.00198441862695842
NXPE2	0.00198804901102023
DIRC1	0.00198804928228102
POLD1	0.00201045671698397
AKAP3	0.00208702748478284
IGSF3	0.00210480588780682
TMTC3	0.0021250179913811
GPD1	0.00217530702492486
DNMT3B	0.00222670968336014
METTL23	0.00223738470563084
LSR	0.00228857125343274
C11orf65	0.00229843336876234
TOR2A	0.00230472254205427
PUSL1	0.00232701965434312
ZHX3	0.00243716498304147
ANAPC16	0.0025096182144323
SIX1	0.00255835442540198
SLC2A4	0.00259002795904584
SLC39A8	0.0026893273459182
MAZ	0.00270789891316725
ACSL5	0.00271209915550696
SIRT4	0.0027798773169383
FOXK1	0.00301248654645092
NOTCH3	0.00304726987917958
ACLY	0.00305266516535563
TXNDC2	0.00306328071053108
NKX2-3	0.00309899542282577
KDELR3	0.00311990582865307
C9orf85	0.00313666664206624
PRSS45	0.00316764320641683
IRF2BP1	0.00321606005574815
TPTE2	0.00335320157561814
KIFC3	0.00338055560218709
ADCY9	0.00344239800466684
ACBD7	0.00347303122654574
NUDT16L1	0.00347694927549225
OR1B1	0.0035001667996809
TPH2	0.00352494677014203
AP4B1	0.00364358239887475
ZNF736	0.00367863481532238
TEX2	0.00368670809742089
PI3	0.00373422596996942
OR1I1	0.00374222547440195
KRT26	0.00388265164246959
NCOA3	0.00402299801872874
APOLD1	0.00404511177284983
PRSS47	0.0040918652656754
TMEM132E	0.00411956453237805
METTL21A	0.00426297833226941
AKTIP	0.00426555277143637
ACRBP	0.00433194197324349
NOD1	0.00433316795073457
NUCB1	0.0043788389429531
NADK	0.00445705058825374
CNPY3	0.00455402244925029
TMPRSS4	0.00466012885913092
MUT	0.00467955970819278
PARP2	0.00480284582790125
KNTC1	0.0048617386868175
OS9	0.00490859419226064
PCDHA4	0.0049332216889082
GZMB	0.00495110074632388
SEMA6A	0.00499299600848246
IRF8	0.00512034360554725
COL18A1	0.00515425657617663
ACAT1	0.00521585754642395
ESAM	0.00527275635915347
ADAMTS12	0.00529113436771689
THAP2	0.00532190642931973
PRSS57	0.00534069038188578
SLC9A9	0.00534363292054718
ADTRP	0.00536269046916216
ERBB2	0.0054536998854724
UBASH3A	0.00550912191687791
MYH6	0.00571679125407742
BICD2	0.00577890952833982
IAH1	0.00580751020035786
SLC2A10	0.00595353202796811
NFAM1	0.00604826149868798
MGAM2	0.00616461790702805
SRSF5	0.00617123120604324
VOPP1	0.00629459716448522
PTPRO	0.00632173999504204
FBXO43	0.00645263650877392
TNFSF18	0.00647438342910289
KCTD16	0.00651863887461968
CTSA	0.00656640435161804
PEX6	0.00658802853654938
PNLIP	0.0065994192299198
DNAJC30	0.00670346500823604
MFN2	0.00675386084618013
SECISBP2L	0.00680176212768835
PTCD3	0.00681365934880396
RELL2	0.00686011084504279
GJD4	0.00688156051527566
SIAE	0.00702296164750071
CLYBL	0.00704556396090206
IMMP2L	0.00709110043885042
DHDH	0.00711292025449595
GTF2H1	0.00716444806130023
MMP26	0.00739649723068203
NRAP	0.00740929338682317
GIMD1	0.00742214476924774
CR2	0.0075912007606419
KLK10	0.00761652771215204
ABCC12	0.00764640371002023
DPYSL3	0.00772469661531783
FASTKD5	0.00775135752008271
KAT8	0.00784134459364538
CHPF2	0.00788031565462521
SLC47A1	0.0079197013839577
DCAF10	0.0079688648560764
HLX	0.00807829141416583
CCRL2	0.00812477231584663
LRRD1	0.00813501625007573
GTF2H3	0.00817309744842054
SHCBP1	0.00817506446676519
SHANK2	0.00818326070868403
PHLDB3	0.00837320909915296
CLCA4	0.00838272791682837
USP42	0.00856116734024071
KCTD4	0.00871910574065349
KANSL1	0.00874692224844775
VRK3	0.00882408136835067
ACADS	0.00884367060532909
IL20RA	0.00893554294955945
SPACA6	0.00907450724862902
CPEB4	0.0091864360832431
SERPINB2	0.00919326483158001
SLC25A15	0.00922640456624557
GPR31	0.00925387837287983
FZD4	0.00931932235727029
ZBTB37	0.0093913553127023
BPIFB4	0.00940153098537155
SPTBN4	0.00953633842542334
SUSD2	0.00962778397550768
EFCAB5	0.00965268610286396
MTMR14	0.00970476151007826
CYP26B1	0.00983305352213404
UPK2	0.0099339897003049
EFCAB9	0.00996366886328259
FAH	0.00998316253924036
B3GNT8	0.0101190767831408
HK2	0.0101534906334693
KAZN	0.0101697259312751
PARP12	0.0102438783357331
PDCD6IP	0.0102893848573139
ZRANB3	0.010425076093022
HERC1	0.0104841192785682
PSPN	0.0105190621561652
NCAM2	0.0105232504881922
ABCB1	0.0105478321152589
RELA	0.0107505982145532
AHRR	0.0107965427262848
CC2D2B	0.010816782519345
BCAS4	0.0111875175452167
SSC5D	0.0112038683401153
LRRC38	0.0115448344370666
NFKBIZ	0.0115573965728432
POM121L12	0.0115772908303907
COL9A1	0.0116487217381641
CSF2RB	0.0118011355170815
SMOC2	0.0118106247992236
KRTAP10-12	0.0118255470513016
FKBP7	0.0118675768904652
MCF2L2	0.0119025261385026
HP1BP3	0.0119346296180074
MAP3K11	0.011959243445188
MS4A7	0.0120045628502319
ZFYVE19	0.0120547087916103
CHRM2	0.0121116379087847
ERVV-2	0.012111950651181
MANEA	0.0121668219170386
TLR5	0.0121708752505241
CDK12	0.0121739194178676
UPF3A	0.0121751296470396
NAT1	0.0123279320713735
TOP3B	0.0123759930949914
HAP1	0.0125586376665212
GNB4	0.0125625677733311
RTL10	0.0126488295346305
FNTA	0.0128174371664216
EXOC6B	0.0128623125177117
SLC18A1	0.0129197848785231
SDCBP2	0.0130706982177928
SERPINA12	0.0132705789151806
PPARA	0.0132708725088878
C17orf98	0.0134154134411408
SCRIB	0.0134389537827657
CUEDC2	0.0135684762935866
TRIM42	0.0135712356122846
LRP11	0.0136264784738115
MAST1	0.0136937668198163
PLA2G2A	0.0137502753897242
PLLP	0.0137912890837619
ADGRG7	0.0138951827593675
MMP13	0.0139341323518853
FAM174B	0.0139632416623503
ZNF551	0.0139970725075984
TAS2R13	0.0140335617645905
ORC3	0.0140569825887672
VPREB1	0.0141406640224196
BCR	0.0141565225962939
MKL1	0.0141995097770835
SLC47A2	0.0142576495458447
FBLIM1	0.0142922506666675
TRIO	0.0143658991812128
ZXDC	0.014378096766518
