gene_name	p_value
MALT1	0.000362397855024232
LRRC52	0.000403141347656844
CLDN23	0.000410906530917021
ZNF655	0.000432003140826809
PDE12	0.00049098005112358
BRIP1	0.000742154473871937
SOX8	0.000880062144359206
OR51S1	0.000889101331948083
TMEM53	0.00101515716182221
APOL2	0.0010774725824112
NUP160	0.00119317993113444
ADAMTS12	0.00128909582190595
FGF6	0.00130400740284531
SERPINB8	0.00134138880223367
NOD1	0.0013944887576165
SEMA6A	0.00142358912810114
EID2	0.0017125821560916
SPECC1	0.00181381310527784
BICD2	0.00209050034882596
PELI3	0.00211230332544754
LRRC38	0.00212847941365735
DNAJC25	0.0021286311198333
CEP192	0.00215650800514078
NAT1	0.00221751221616018
KIFC3	0.00228701654611629
DTX3L	0.0026313347587239
MYH4	0.00266333093828541
MMP13	0.00267984714051572
VPREB1	0.00280156016163935
SPC24	0.00303566316583181
NUP205	0.00307438433797325
KHK	0.00316291827731197
FAM149A	0.00321396750820291
NLRC5	0.00322317506922531
SCNN1D	0.00323198125131186
PCDHA4	0.0035162288162629
NOTCH3	0.00366479495879268
GSR	0.00391619830596568
FCRL1	0.00392591144771726
PRSS57	0.00403936415874484
ACTR5	0.0041709492757197
ALG11	0.00427327317149406
TNKS2	0.00431702053930239
CD6	0.00436081007577593
MTG1	0.00456315370091365
THSD7A	0.00463929241034133
PTCD3	0.00464461921039994
PDZD7	0.00473404612239436
AMIGO2	0.00474392555225933
NKX2-3	0.00475845459239854
LCMT1	0.00489893052270551
TFAP2E	0.00490870774319385
RNASEH2A	0.00496678974176823
PAF1	0.00503056766585319
USP29	0.00505284925735139
GPR158	0.00518767698095712
CHRDL2	0.00533534025020355
LRRD1	0.00550191045050896
HRNR	0.00550923301451778
LRRC4B	0.00563704436447454
SULT1E1	0.00565522923456585
OR10A4	0.00568565515967134
KRTAP4-3	0.00569095775804873
KRT17	0.00572512091226973
KRTAP4-9	0.00574229051832964
CENPE	0.0057708492930244
C10orf111	0.00578664455507782
C21orf59-TCP10L	0.00587460034935883
C1orf87	0.00592987753996688
TNFRSF8	0.00594109903422058
IGFLR1	0.00598640002479212
BBS4	0.00599487455560299
SMCO2	0.00618815476193291
PAOX	0.006244082670949
ZNF781	0.00634775613771521
PLXDC2	0.00649089526895696
KLF13	0.0065193685552053
FAS	0.0065546634602669
CMPK2	0.00674226768757191
FAM173A	0.00674827037814107
DIRC1	0.00684500935407573
SPATA17	0.00694570350997281
MANEA	0.00695467971806296
ATM	0.00705218388674311
PARP12	0.00707501366764662
LDLR	0.00716544085948756
THAP2	0.00737352813974113
CD302	0.00745494268079927
MYLPF	0.00752369816706566
GATB	0.00752868333391288
REXO2	0.00770137463924569
PRR35	0.00777909784428465
PDGFC	0.00783793727504467
KRTAP29-1	0.00796169862552465
ABCC6	0.00797258353054253
OLFM4	0.00799545529745371
LIMK2	0.00800386386165874
SSC5D	0.00821255030159196
DNAJC30	0.00852864151176658
