gene_name	p_value
CASZ1	0.000164911978175031
MOB3C	0.000212531824480888
ZNF860	0.000665459266844914
FCHO1	0.000786419153096851
LILRB5	0.00082963387247148
SLC12A7	0.000936116368767781
CARF	0.000974169364067912
DPP6	0.00112109370123303
GABBR2	0.00116979597510392
KDM7A	0.0015645672908553
SLTM	0.00169069467442184
PTOV1	0.00180735570596602
ELL3	0.00202556982199131
ZNF132	0.00202672796271453
NUP98	0.00212274635085763
RETREG1	0.00224496889016468
SDCCAG8	0.00231998734934602
NACAD	0.00262781303493065
B3GNT4	0.00263251012546506
COL9A1	0.00263530841018145
CAMKK1	0.00280927809474174
SF3B2	0.00281676828502619
AIFM3	0.00303006506615877
PRR5-ARHGAP8	0.00303532016047592
FAM53A	0.00303557736205828
PADI4	0.00328039402187486
USP50	0.0033003935467143
SYNGR1	0.00330171724439199
PTGIR	0.00353012700150646
NUP88	0.00372962526335308
TOM1L2	0.00376046391245921
ENPP5	0.00389389242061788
ABCB10	0.00421852693002445
CENPF	0.00433827764152606
KDM3A	0.00453825989218604
SPATA5	0.00460948758798985
TCTE1	0.00486961374287354
TTC5	0.00487720468753083
BCL2L12	0.00494068653663982
KANSL1	0.00521069542670605
IL17REL	0.00530287999915446
SHC2	0.00538238619151188
ACKR1	0.00547934053533239
LILRA1	0.00549488450900149
GRTP1	0.00552570032026845
C14orf39	0.00555560587381732
ZNF786	0.00561559882471918
FBRS	0.00572079938309522
OTUD4	0.00589041132378665
DYNC1LI2	0.00594622757159724
MARF1	0.00601919428425191
IDI1	0.00606450939376779
ZC3H12C	0.00609232230931778
MXI1	0.00623537829549459
LMLN	0.00625912709533416
LYSMD4	0.00627320012904153
ALDH5A1	0.00658899225463194
GSDMB	0.00664380460230318
TBC1D2B	0.00688320132649911
LDB3	0.00691405156582148
PGRMC2	0.00691585146697571
CYP1A2	0.0069368159066725
TNFRSF21	0.00699331767486544
CYP21A2	0.00712068303375668
JSRP1	0.00717701765367584
PLEKHG5	0.00720266877142706
ENPP3	0.00750677522429821
KDM5B	0.0076050594076329
ZNF284	0.00761895223050235
C2orf78	0.00790020660686075
FAS	0.00790221247952549
CCBE1	0.00803843538321947
KRT81	0.00805067482558552
OVCH2	0.00806880315202041
ZNF701	0.00807932876141892
BTG4	0.00826504691448404
GH1	0.0083083774579108
C17orf50	0.00835920121169864
MROH9	0.0087750539070327
C7orf34	0.0089358375214752
HAPLN2	0.00893939536807964
DPP10	0.00896572032441711
OR11H6	0.00915496046340603
UBXN11	0.00927708236149838
SLC4A1AP	0.00953172702825811
FOXD4	0.00958837984027161
ERVMER34-1	0.00962516569192318
GPSM1	0.00972234045181197
FAT2	0.00991225869027079
CCDC136	0.00998713650072003
COL22A1	0.0100716047209946
AMOTL1	0.0101652966482074
TNFRSF13B	0.0101684443382025
HDC	0.0102115766860187
RNF157	0.0105575353455286
TADA1	0.0106791838080308
VRTN	0.0108090396363292
ZNF100	0.0108624256841029
CENPC	0.0109397949564924
ACHE	0.0110368994654773
EXTL2	0.0111503937816861
DPEP3	0.0113719460554055
SGTB	0.0115416066097247
SPNS2	0.0115796604982032
ARMC3	0.0116142989994468
TEX37	0.0116907259347132
TDRD9	0.0117648505226664
PIWIL3	0.0118862035101123
TMEM53	0.0118947571462281
C8B	0.011946928053568
EHD4	0.012101547194999
PMPCA	0.0121109756934715
MBP	0.0121490725140281
ERMP1	0.0122082958741689
MX2	0.012429576597117
BIRC3	0.0125406283406273
ANO7	0.0127790730966187
JMJD1C	0.0128629295978125
PDHA2	0.0129114871763687
UQCRC1	0.012958230731256
PPARGC1A	0.0130412547054536
SBK2	0.0130414554097087
ART5	0.0132019721307249
WRAP73	0.0133834605508965
PLPPR3	0.0134464726935284
ARID1B	0.0135880561879289
STOML1	0.0136844936951389
OTUD7A	0.0140442847843885
CEP295	0.0140546637144862
ABCA13	0.0141922856930157
CACNA1H	0.0144560826613273
RBM12	0.0145684073310647
CFHR4	0.0145909082984566
ADAMTS8	0.0146553293407569
PTPRG	0.0148703412405797
MFAP3L	0.0149047673792522
LIPM	0.0149355004410306
IMPA1	0.0150156944561147
E2F2	0.0151314986442882
ZKSCAN4	0.0151379536062499
USH2A	0.0151537698016255
GADL1	0.0153657954706437
FTH1	0.0153668520159812
NEDD4L	0.0153846256852028
IQUB	0.0155217262137773
IL1RL2	0.0155453872045359
OR5A1	0.0156617851975706
LBX2	0.0156672425153249
TNRC6C	0.015766546606666
ARAP2	0.0158527094699085
EVC2	0.0160628405248811
FBXW4	0.0163436208553848
AFG1L	0.0164882009298544
CFI	0.016924301889957
OGDHL	0.0171202393170008
TCF15	0.0171645271786316
OR8D1	0.0173093170049804
MTHFD1	0.0175579025765059
RDH10	0.017569398308375
REV3L	0.0175850714111169
PI4K2A	0.0179554931373864
SAMD14	0.0180259233457617
WBP11	0.0180354627203982
TICAM1	0.0182712162266389
IL17RE	0.018450760526028
ADAMTS7	0.018458403804027
ADGB	0.0184811421579544
AFF3	0.0185133583118567
CLCNKB	0.0189534581076788
DAG1	0.0189642715944917
RHBDF2	0.0190031101013606
ZNF345	0.019104355347233
CALCA	0.0191099490088166
COQ8B	0.0191114482497148
RTFDC1	0.019330358863435
TLN1	0.0196422027552928
CPXM2	0.0198343573739216
EIF3A	0.0198785642544389
TSNAXIP1	0.0200448499192856
CCDC27	0.0200777444477799
POLN	0.0201771803055113
ANAPC5	0.0204078220594976
AKR1C3	0.0205729909959773
FANCM	0.0206315668166838
HKDC1	0.0207720168015025
RASSF7	0.0208955534159437
PRSS41	0.020929237648341
EWSR1	0.0209363193774297
GNL2	0.0210764306752865
DNAAF5	0.0219621079674452
ACTL10	0.0220024506556969
FLT4	0.0221563847971246
NIN	0.0224026326802466
