gene_name	p_value
NLRC3	1.11473072867962e-05
PLEKHM1	0.000130285943820807
ELFN2	0.000206460370800077
KPNA2	0.000264056444909566
IFFO1	0.000274783054420413
ATAT1	0.000312928106524946
WHAMM	0.00041198168116019
SHF	0.000430195048740201
LRRC14	0.000456818863509345
PACS1	0.000517849787303182
CPZ	0.000569531930008194
TPR	0.000626357474992734
SAXO2	0.000699017494362963
ZC3H12C	0.000754486830421786
RYR3	0.000754744571372035
OR5M3	0.000759107404539772
KRTAP4-4	0.000781025148276937
ASNS	0.000803873523960386
ZNF154	0.000822727685764524
PRR22	0.000827979091855613
SLC22A10	0.000857799443236829
FAS	0.000980640004156874
TUT1	0.00135582871646667
OR1K1	0.00188077436814171
ANKRD12	0.00188778969889947
C10orf105	0.00218511517993536
CTC1	0.00222043196045185
ZNF234	0.00227801824732821
TET3	0.00237855840135948
OR6C74	0.00242109801111434
NUP160	0.00245565852570739
NADK	0.00259864111476482
HEXDC	0.00265084631305812
ZSCAN12	0.00284326726273643
APAF1	0.00284566859585533
CEMIP	0.00291715940586457
SLC22A25	0.00293128045429991
LARS	0.00296766961375694
ZNF562	0.00301645245404247
TPSG1	0.00317808872777969
LDLRAD1	0.00327787745011909
ADGRA3	0.00361711997827285
PCM1	0.00374970679075581
GNL1	0.00378446789044118
SCNN1B	0.00403231446805619
PRDM11	0.00436729625901455
ENTHD1	0.00443605569871208
C16orf91	0.00444308664380444
RNASEL	0.00452376299220947
ANKRD61	0.00453570016199989
PLA2G4E	0.004722602900325
MCM9	0.00472958188663608
VPS16	0.00494151111387908
PCDHGB5	0.0049674591963883
PRKCD	0.00524298349550134
RARRES1	0.00547263201488646
TSNARE1	0.00552396514420039
TRIM22	0.00554222324950582
GANC	0.0056433080260202
ZNF417	0.00570672214746248
SIVA1	0.00571542369750189
POTEE	0.00584788492576038
ITGB5	0.00586575296808556
CRAMP1	0.00586588986793213
ZIC4	0.00591420775817109
CECR2	0.00602457491675024
HDGFL1	0.00605718759585416
ECH1	0.00609206693411402
IFIT1B	0.00609327865229792
GSDMC	0.00623680719388697
ANKRD20A1	0.00661934348213833
ST18	0.00666571477190647
E4F1	0.00683675632133551
ANO7	0.00695475412687552
LMAN1L	0.00697493726797416
ARHGAP40	0.00700246527695392
GYPB	0.00714177907213476
CARMIL2	0.00722774470625953
DDX28	0.00728320236205915
CHRNA10	0.00749235556886985
RPS6KB2	0.00758804662363533
C11orf21	0.00764124413571543
CARD6	0.00784948939749464
KCTD19	0.00790480341060518
