gene_name	p_value
COLGALT2	5.32634628309658e-05
SNX1	0.000145106259101579
UROS	0.000151390786978678
FAM181A	0.000186887935157198
ZNF746	0.000313518245470434
SGCA	0.000319634665947421
SIPA1L1	0.000365366231080966
GAS2L2	0.000436765786175797
GORAB	0.000459965338878154
MMRN2	0.000524816523574057
FAT2	0.000545649174618967
MOB3C	0.000596788671117565
OR6T1	0.000684518362880526
KMO	0.00069381275974012
BCHE	0.000735170804406549
MYCT1	0.000770625765815103
ALPP	0.000807242013863729
POC1B-GALNT4	0.000852757007955174
SH2D7	0.000886116150747074
OR10G4	0.000889286325029714
BTN3A2	0.00089826513601321
NCR2	0.000915575604179875
GDPD4	0.000957751230208248
RNF150	0.00104326716490144
CXXC5	0.00119209384882812
SCNN1G	0.00120535197657423
ZNF718	0.00125010363859168
OR10G9	0.00132585635699844
CCDC28A	0.00138457204865716
SEPT14	0.00148429370598313
DPP7	0.00158543104512887
MTFR2	0.00160597932833528
ZNF764	0.00160756515861737
CDH13	0.00176386071975665
OR10G8	0.00179401196503204
CPS1	0.00180062755188193
CRYGD	0.0018010336247043
NCL	0.0018653264159193
DCANP1	0.00204096016276234
ABCC4	0.00210826370226969
STK3	0.00212695512599936
LACTB2	0.00219197807846661
GATB	0.00246342858184845
CHL1	0.00255720099672652
EXTL3	0.00255724612302155
CNMD	0.00265811386017534
TMEM151A	0.00280755186241877
SNX9	0.00283367542831792
PSRC1	0.00283415934598941
RCN2	0.00290750299115705
BCAN	0.00309513624444113
DOCK2	0.00311514883429342
NAALADL2	0.00315992750218674
ZNF761	0.00320557220240059
NRP2	0.00321663841700048
MCM9	0.00338389423805407
GALM	0.00339441242843441
ZNF365	0.00351399769153482
ENTPD4	0.00354607710041899
MORC3	0.00354988835686176
ASPG	0.00362406472398924
WDR48	0.00365233128333597
PSMB9	0.00368043783065441
CYP8B1	0.00374683952219024
RETREG3	0.00374738001213226
FLT4	0.00375536054882153
HMCN1	0.00382108304660456
FAM221A	0.00388012639835389
C16orf62	0.00392351037716299
EXOSC8	0.00394469582734314
LIMS2	0.00394969970309944
USP50	0.00427935002627478
ZAP70	0.00429755737572035
SPACA1	0.00455091713254452
EPB41L4B	0.00456041021794829
GOLGA6C	0.00464882876488382
ARMC6	0.00474167967800543
C9orf153	0.00478708398045968
LZTS2	0.00488627236911854
ELL3	0.00492387951166939
LAT	0.00510046201141701
VPS45	0.00516941431598994
C5orf60	0.00523396710727542
MMP25	0.0052634545306276
IL16	0.00531220855222647
PLPP1	0.00558792477866799
GPR148	0.005623724371009
TROAP	0.00563641674055904
CREB3	0.00572195548248522
SLC2A3	0.00577662631278464
BHLHE41	0.00589870123736047
RNF113B	0.00590563611817374
STOML1	0.00591158105458345
FAM149B1	0.00593990178291115
IFT27	0.00594836733888537
KBTBD2	0.00598769176146652
DICER1	0.00620164921159416
GRID2IP	0.00621304771105458
SLC25A48	0.00624596832840052
ZDHHC17	0.00626316368825619
ZNF781	0.00628489427646783
ITPR3	0.00630048101883085
ANKRD13C	0.00631203714606909
TEX47	0.00638085383499198
ADGRG3	0.00643579279603212
LPAR3	0.00644630514486599
TSSK3	0.00647839781386095
PRCC	0.00649661086944087
KRTAP9-9	0.00654373809456887
BLVRB	0.0065514779412631
SLC2A5	0.00666882034620886
OR4N4	0.006695407432877
TMEM168	0.00669719863866369
MARCH2	0.00700294091761455
TMEM256	0.0071806970647984
IL10RB	0.00726390722590287
SHF	0.00740563197982003
TMEM154	0.0074255285123741
RPS6KA1	0.00747555484638018
PHF14	0.00765609682429758
PARP15	0.00775881314186966
GPR63	0.00776488520506502
OGFOD3	0.00779156831674555
PALLD	0.00807127533314456
CCDC89	0.00848542389179519
ANAPC5	0.00851396073058641
CARMIL1	0.00856659640358215
C10orf105	0.00859455684311106
FN3KRP	0.00869522664192102
ZNF414	0.00883303795263901
ASIC5	0.00895248395188841
EIF2B1	0.0089872605130461
ARFIP2	0.00905599134557866
PARD3B	0.00906120952111822
TGS1	0.0091276491121397
ABCB4	0.00917020084690079
RANBP9	0.00919366315990433
MINOS1	0.00928150142506823
PPP2R3A	0.0092833170419655
UTS2R	0.00932536050906752
C6orf89	0.00933611070683471
ZYX	0.00944104775264221
VPS39	0.00973036674424876
JAM3	0.00975363227529347
AP3M1	0.00979746005696291
DEPDC1B	0.00980108348993625
NTN4	0.00982755221869014
FCHO1	0.00983417160656508
PLEKHG5	0.00990246282763774
KCNK5	0.0099782684462012
LHX1	0.0101382960801186
TRPC1	0.0101443128984451
SYTL3	0.0101493766606233
CHRNA2	0.0102065083346541
KRT1	0.0102604336735217
CHPF2	0.0105038041413373
CCDC39	0.010528083328695
ZNF836	0.010539060064241
PHPT1	0.0105989697228981
KLHDC8A	0.0106596364825902
CEP250	0.0107802785935814
ZNF559	0.0107958184093473
SMIM24	0.0109882833885575
DALRD3	0.0110854929866159
ATP12A	0.0111859830909943
GLDN	0.0111877042387413
POMGNT2	0.0112066996944306
SLC24A2	0.0112659874287229
CASC1	0.0113635034575998
RASGRP1	0.0114911046073708
MMP3	0.0115319958662375
PAQR9	0.0115679132451647
ASCC1	0.0116083743984097
STN1	0.011615882169504
CAMKK2	0.0116786877184824
ATP5SL	0.0116850571063685
LUC7L	0.0117142718566912
ZDHHC14	0.011756035030155
KIAA1549	0.01177520930697
TTC8	0.0118283224115173
PIK3C2A	0.011937627873184
ACTR3C	0.0121822626114754
ZSCAN30	0.0123197364594928
KLC3	0.0123926344746386
NEK5	0.0124603347116525
ACTRT2	0.0124675741747653
ENPEP	0.0125031116279889
FAM120A	0.0125168494051071
VWA5A	0.0126396507465193
GBE1	0.0126981709304328
CDC42EP1	0.0127075280578796
RPGRIP1	0.0127719660277347
FANCI	0.0129405855003019
OR10A6	0.0130197506122492
BTG4	0.0132663873534665
TET2	0.0133035562220366
LPIN2	0.0134555276319606
PGAM2	0.0136760298454361
MMS22L	0.0137489283280953
HAPLN4	0.0138197506724365
MRVI1	0.0139324418670761
KLF13	0.013958120543878
RTL1	0.0139931098643946
RNLS	0.0141576492744543
FAM84B	0.0142537552732418
ZNF793	0.0142931691795141
ITGAE	0.0143004402698595
OR4C6	0.0143430677502071
IMMP1L	0.0143628098521408
ABCF2	0.0143693333145688
APOL1	0.0144378704705066
ZNF3	0.0146244542744205
CACNA1B	0.0146549622600177
EFCAB12	0.0148056282841621
RCC1L	0.0148875713225142
PPP1R12C	0.0149420447589106
ZNF790	0.0150113641963734
IDH3B	0.0150209035726772
OBP2B	0.0153220723369291
LTA4H	0.0153895940311733
ZNF770	0.0154276873025266
KRTAP1-1	0.0155237807370234
MPZL3	0.0156057672653049
PRADC1	0.0156292275288056
HSH2D	0.0156421143159113
IQCE	0.0156864618635577
MOGAT2	0.015772082000838
CES1	0.0157851419599221
PBX4	0.0157874810413681
SPDL1	0.015789883495991
SPINK4	0.0158298644933413
CRYZ	0.015850100599382
IFI44	0.0159227960658667
AK2	0.0160432991956679
PYROXD2	0.0162705535886352
