gene_name	p_value
GDPD4	4.98482247452969e-05
PTOV1	0.000110870906653737
RSPH10B	0.000342303872638117
CAPN9	0.000366988160190207
MYO7A	0.000515888611300142
SNX1	0.000665962694896494
STK3	0.000710612748744399
TPGS2	0.00116919622539313
HIF1A	0.00143620646084752
ZNF70	0.00153177065661692
ADGRG3	0.00172046251482072
C1orf112	0.0021498460589886
SH2D4A	0.0022767481852336
NACA2	0.00248605398010682
CLCNKB	0.00263426506046416
DBX1	0.00266551477213839
SERPINB12	0.002731191006342
FAM171A1	0.00275511250007587
SIPA1L1	0.00279494070494157
PSG5	0.00289633066684569
TSSK3	0.00299843645030107
OR2W5	0.00303426646020288
SCNN1G	0.00308448646603543
PAN2	0.00309988236061587
IQCE	0.003135810183582
BCHE	0.00321419289473013
ITPR3	0.00321426580427353
OXR1	0.00326599765883606
OGFOD3	0.00330780777125894
GOLGA6C	0.00333804382509451
APOL1	0.0033466861248953
LZTS1	0.00339408756719695
LDAH	0.0034592513962447
ZNF236	0.00348829365639325
CCDC89	0.00357972863169398
ELSPBP1	0.00374357747384968
OR1L6	0.00386873902348628
GORAB	0.00387755919377331
NPBWR2	0.00427041737200595
CARMIL1	0.00450462833087495
RNASE8	0.00457439781418012
LMNTD1	0.00483940287476137
VN1R1	0.0048786244170248
C1orf27	0.00491326868880793
CNTD2	0.0049166305139412
CCNDBP1	0.00497140485184489
INMT	0.00516804428153217
DPP7	0.00526605141784164
CYP2D6	0.00529484012047432
ZNF365	0.00530044760223958
TC2N	0.00539624466196431
PRRC2A	0.00541571386200546
CBFA2T2	0.00542286232684897
CNGA3	0.0055049751532954
RCN2	0.00555451467526502
UBXN11	0.00559676517018293
CD1C	0.00570613816145604
LOC389602	0.00582406151562542
CACNA2D4	0.00598007690598401
GAPT	0.00605033386692821
NKAIN1	0.00609168708679375
LIPE	0.00617010217427238
DPH7	0.00631865009536425
CNTROB	0.00633298101682334
CDK5R2	0.00644178702266862
MAP4K2	0.00644853807138479
LY75	0.0064590055679199
BLVRB	0.0065314011295069
MIF4GD	0.00665680255533418
BCAN	0.0066832750327579
MTMR2	0.00683458102151369
ACSBG1	0.00686794795780787
SKOR2	0.00693499699704858
KLF13	0.00730869944347246
OXTR	0.0074854964656399
LPIN2	0.00766555915819556
TPRN	0.00768758078314924
TMIGD2	0.00771683408107948
RPP30	0.0077441428734023
TTC30B	0.0078865750613436
DCLK3	0.00802066289764025
OR9G4	0.00805304212156488
OR2Y1	0.00805592061271854
PRCC	0.0081425611976681
KRTAP9-9	0.00819105667035591
HRH1	0.00833297053096804
TMEM207	0.00854161599756142
ZNF292	0.00865291928725054
CFAP52	0.00867918836539994
GMNN	0.00883297558521046
ATP8A1	0.00885768285584065
MOB3C	0.00905888126207255
SPINK4	0.00929423206676294
EXTL1	0.00946976400853328
PCDHB6	0.00949534442231759
LRRC4	0.00953453778316948
MAP3K10	0.00954491170339666
PPP6R2	0.00960881177525175
BBS7	0.00989782764662384
DRC7	0.00996538602337693
ABCC4	0.0100175065574687
ADCK5	0.0100199898507074
ARMC6	0.010046788592233
SKA3	0.0101759860841775
MTX3	0.0102310611738539
PCK1	0.0102924955795735
FAT2	0.0103535313966852
ZZEF1	0.0103992916534262
LILRB2	0.010407228377326
NUP160	0.010440598114731
YES1	0.0105006245623012
CYP8B1	0.0105664003501196
EIF4ENIF1	0.0106251249010663
SAXO1	0.010750402668385
TBX21	0.0111240860548141
KRT1	0.0112680538588709
NRP2	0.0113493641817993
SAMD5	0.0119928409662531
PTPN1	0.0121025192430724
CEP250	0.0121327693117883
APOPT1	0.0121362001655393
ZFHX4	0.0122017415064661
PCDHB15	0.0122506968179968
NUTM1	0.0122690679377158
FTMT	0.0123771117493869
ZNF318	0.0123988367105674
DCDC1	0.012441410195715
CYP2F1	0.0125534455110102
UQCRC1	0.0127054189402521
CDH18	0.0128582513992278
ABL1	0.0129600871169907
SOHLH1	0.012976769226864
PRADC1	0.0130726905719301
CDC42EP1	0.0132356156103827
C9orf72	0.0132926216787884
ATAD5	0.0134902388610965
MFSD1	0.013492738367518
NUBPL	0.0135652234094434
PCDH7	0.0135781012037623
MIA2	0.0136384244298388
NLRP1	0.0138967147253376
CEACAM1	0.0139095095691147
PCBP3	0.0140119184939498
RLBP1	0.0140571632964427
CHRNB3	0.0141062060025926
RINL	0.0141895344983316
ESPL1	0.0142229885015646
TBC1D4	0.0142377747123003
ZNF91	0.0142651828850192
CHRNA9	0.0143947773807286
DHTKD1	0.0144467631868945
PPP2R3A	0.0144517036860697
CYP2C19	0.0146261736883472
NCL	0.0146848421385328
SOX12	0.0147551425842949
BHLHE41	0.0147892774661751
ZNF414	0.0148992656381155
TFAP2E	0.0149023515125196
ITGAE	0.014953801835632
DYDC1	0.0151263823249332
HPSE2	0.015184058429727
LIPC	0.0152750428151601
CEACAM8	0.0153139105901056
NQO1	0.0155707556749721
CR1L	0.0160372125108479
GOLGA3	0.0161771218058845
CHRDL2	0.0164448781587565
FNIP2	0.0165316763644762
MRPL23	0.0166399915581908
ZC3H8	0.0167092525562201
LHX8	0.0169365841312015
LY6G6C	0.0169734258833711
IFT80	0.0170435526976483
USP20	0.0170872261471207
ZCRB1	0.0171044810991794
MS4A10	0.0175302300523043
RELT	0.0176091240394485
DBR1	0.0176356186878073
PLSCR2	0.0176357964937885
MAEL	0.0178138414352395
PSRC1	0.0179930934449403
TLR2	0.018046713623831
OSBPL5	0.0180922315371173
HIPK2	0.0181179262596586
LMOD1	0.0182447681233069
POM121L2	0.0184231656568786
PRSS48	0.0187371362926281
TRPS1	0.0188163564104777
FAM129A	0.0188555989975169
GAS2L2	0.0190587318193582
JMJD8	0.0190593013312205
SRRM4	0.0192462669631334
AGPAT2	0.0192590262080888
AQP12A	0.0192972272048896
ELL3	0.0193323217684772
AEBP1	0.0193413401202062
ANPEP	0.0194094626205189
PRSS50	0.0195889312235701
CARMIL3	0.0196956288601475
COL1A2	0.0197543689949432
CFAP206	0.0198260882193892
CCAR2	0.0199162489819775
SHF	0.0199998193513454
OR6C4	0.0202902985307681
BTN3A1	0.020344183123751
TRIM17	0.0205453568762823
CD40	0.0206760093996344
BTN3A2	0.0207234145649494
EWSR1	0.0208455585227549
GRIN2C	0.0208883289177436
RCC1L	0.0209281723510327
RPAP2	0.0209640563462736
JMJD7	0.0209665052568719
MOB3A	0.0209888687922117
KIAA0753	0.0210706822835252
VSIG2	0.0210977345927912
SYNPO	0.0211431303676235
SLCO1C1	0.0212004104641346
RELL1	0.0212427215430987
FBXO44	0.0212481991410423
SEPT9	0.0214984695226431
OR10G8	0.0215585146030672
FAM180B	0.0218407519088148
MRPL34	0.0219045443509761
HOXB7	0.0224440419533685
DHDH	0.022447993268402
CHIA	0.0224772058925737
NPHP3	0.0226217248429341
KRTAP1-5	0.022966799446331
SPPL2A	0.0230181527268853
HEY2	0.0231019573100827
OR52A5	0.0233387300124466
DLX5	0.0233671170781858
DRAM2	0.023389681026441
FBXO40	0.0235497636406119
RNF135	0.0236267714663988
TPGS1	0.0238236309433194
BTNL9	0.0238988274978507
ACOXL	0.024042285085739
CALML4	0.0240648006423159
SH2B3	0.0241425318052128
RBBP6	0.0247573180828337
LHX1	0.0248520989299186
RSPH3	0.0248554474057356
TMTC4	0.0249232626048677
PALLD	0.0252314105927836
STX17	0.0252980931348747
RPE	0.0253377985274873
FAM161A	0.0253935342798883
JPH4	0.0254519580331189
OTUD3	0.0255069128725262
MTFR1L	0.0255997095841958
FAM181A	0.0256203879295427
RABEPK	0.0257009408363043
NBN	0.0257052876226047
ZNF785	0.0258225222199387
CRISPLD2	0.026017539655658
LIMK2	0.0260781732973111
OR2A14	0.026340680950918
TANK	0.0263862818656126
SPATA6	0.0264369746902471
GNAI2	0.0264429174251598
CCDC146	0.0264457909032187
GML	0.0265781108545589
TSR1	0.026627829390833
WBP11	0.026654492345038
PARP12	0.026710855710241
TSPYL5	0.0268103339153787
RNF25	0.0268663272389
POLR1C	0.0270174762630868
IFNA13	0.0270786864913867
TROAP	0.0271459093389057
C2orf40	0.0271994645623618
MIR1-1HG	0.0272997610973446
NKX2-4	0.027435110515537
PINLYP	0.0275297318331826
CBY1	0.0275348140655644
SCARB1	0.0276219928152136
MMP2	0.0277440312467987
SPDL1	0.0278622311235419
TMEM183A	0.0278753861331863
OR5D18	0.0278794076976187
CUEDC2	0.0279248527235767
DPEP3	0.0281128830986472
FGFR4	0.0281517746308284
LRRC14	0.0282114001346729
CWC22	0.0282499107696675
KDM7A	0.0282998089741886
RPGRIP1L	0.0283418220326304
TRIM59	0.028372141765123
L3MBTL2	0.0284752384779332
ALPK2	0.0285676355662539
TTLL3	0.0285712288710793
NLRC4	0.0285887639761956
ZDHHC14	0.0286301809191755
OTUD6B	0.0287079013510609
ASTL	0.0287817387467764
SETD9	0.0288900622752122
PSMB9	0.0290053394283809
DHX16	0.0291401028129546
ETNK1	0.0291719216920312
STRN4	0.0292106786070393
VPS37C	0.0292466869318471
ZBTB7B	0.0292669938033552
PLPP1	0.0292812697388654
GCN1	0.0292882723128234
RTL10	0.0293767980657094
GMPR	0.0294205407255564
HSPA2	0.0295287659122239
ATP2A2	0.0300129096660889
C10orf90	0.0300494805243636
DNAJC11	0.0300610725845438
CCDC152	0.0301001623935516
FDXR	0.0301006728790018
CHADL	0.0302371106342574
KCTD4	0.0302565879858012
TMF1	0.0303517641161155
COL17A1	0.0305232652143531
PDE10A	0.0307976610218972
PRAMEF12	0.0308289446776647
OR4C15	0.030977222703098
SPHK2	0.0309819897614936
LONP1	0.0314417275276588
SRSF12	0.0314722623298299
FBXO8	0.0315849422980274
ZNF701	0.0316778249000094
C2orf54	0.0317517618744491
OCLN	0.0317795307389647
DNAJC6	0.0318298849758714
KRT81	0.0318456146652819
SMOC1	0.0318588152788758
FANCC	0.0319909552630843
TJP2	0.0320628189865566
NARFL	0.0323451536341823
PNMA8A	0.032961399816535
ZNF460	0.0329682386443458
TBC1D10A	0.0329977516019209
MLH3	0.0332057999969375
HLA-DPA1	0.0332797492102718
CCM2	0.0333054401544347
PDX1	0.0333769435410253
ZNF225	0.0334106902487267
FTSJ3	0.0334452714780501
SRL	0.0335700163570124
PRMT5	0.0338402917100512
TM4SF18	0.0339500521732602
ART1	0.0340236623498086
ZNF654	0.0341608935042795
MYBPHL	0.034359874513719
DLX4	0.0343981984308646
AZU1	0.0344181296475153
HEG1	0.0344614996561832
ADRA2A	0.0345487667259643
SKIV2L	0.0346419087480363
MRTO4	0.0348860860536525
NTN4	0.0348864939080329
PBRM1	0.0348958846743086
CLEC4F	0.0349506126260493
MRPS5	0.0351337416224711
KIAA1211	0.0352461381958834
STRN	0.0352780775100358
OR10AG1	0.0353010818997596
UROS	0.0355335984080756
ARID4A	0.0355676692692194
ZNF845	0.0355818751061511
CTDP1	0.0355915777934211
PHYHD1	0.0357165551883076
PARD6G	0.0357348035075712
CCDC6	0.0357852007917874
ADAM23	0.035815335123626
TMC2	0.0360632836731883
PHTF2	0.0360845034565909
TNNT2	0.0362021827243031
ABCC2	0.0362172598787512
VPS28	0.036244062080549
ZNF846	0.0362489765778731
EIF4G1	0.0362493749553641
ATP8B3	0.0365561497492116
CLASRP	0.0366010017781839
SLC12A5	0.0367065719980388
SUCLG1	0.0367797774649917
AHCY	0.0368054978840009
SEPT14	0.0368622305169662
CDC45	0.0369083928851524
CCDC174	0.0369703132897912
ATP5SL	0.0370374031103817
TMEM44	0.0372530408601832
TAS2R46	0.0374055737556332
SUN5	0.0374653268657569
LOC729159	0.0375603966668598
ANXA5	0.037598541726759
ZNF781	0.0376373693067827
PRKCQ	0.0376893955459604
CDC42BPB	0.0376956182108285
SYTL3	0.0377240250748607
LILRA3	0.0379113018989448
SBF2	0.0379192640707793
FLT4	0.0379836499570807
BTG4	0.0379924841689617
SYDE2	0.0381517707890459
ZNF799	0.0381920634668973
ZBED6CL	0.0384312711087015
PNMA2	0.0385454089719127
EIF2B1	0.0385831196352726
AAR2	0.038637049491465
KLHL12	0.0386540341342215
TREM2	0.0387607392436612
CEP152	0.0389956092869803
NAALADL2	0.0390602144081181
PTK7	0.0393760856511888
ZNF746	0.0393968165471492
SDC1	0.0394189068555933
PSG3	0.0394480729887947
C9orf66	0.0394686960832555
TRIM24	0.0395328073662505
RHOBTB2	0.0395367034491569
SOS1	0.0395571186672181
BMP10	0.0395798208638677
C16orf62	0.0397307309936276
BAIAP2L2	0.0398647694120934
TMEM185B	0.040106424994673
SPTLC2	0.040121259134307
CPNE5	0.0401742251711689
HTR3D	0.0402966108168088
GNL3	0.0402988295121863
GPR162	0.0403425179243226
SYNE3	0.0403501351874876
BPIFB6	0.0403704183093898
HSH2D	0.0404113355425891
EPHX1	0.0405514132994239
C17orf105	0.0406068121027665
MVD	0.0406996080867645
LTF	0.0407475497099653
RBM14-RBM4	0.0408540551733133
OR14I1	0.0409211930689016
ETV5	0.0409390275635485
EPHA8	0.0409398049828549
DISP1	0.0410751099858604
GPR78	0.0411232898122594
WIPF2	0.0412588648632681
ELAVL2	0.0413535173980158
TMC7	0.0413861772226148
LRRC7	0.0413940162679161
ZDHHC17	0.0414175838057993
GRHPR	0.0414308042179937
TSPOAP1	0.0414769727684137
ACP6	0.0415116170450783
CCDC85C	0.0415775502797019
DNAH5	0.0417411245378648
CNNM1	0.0417590305998961
LRRFIP1	0.0417775485962342
USP6NL	0.0418880367348967
ZNF697	0.0419811643397674
SNX14	0.0420282608853887
GINS4	0.0421224468237619
LRFN2	0.042278555541362
SCNN1A	0.0423229825808403
