gene_name	p_value
ZNF365	4.80618574983938e-05
ABCC4	0.000105249660031448
SETD9	0.000148544967869424
ZNF718	0.00018170636814252
SNX1	0.000182842691928808
COLGALT2	0.000220622086377298
ZNF764	0.000306206918489038
CCDC179	0.00033061218319852
GORAB	0.000402711165852221
STOML1	0.000476939064097293
TMEM178B	0.000559755060626776
TMEM151A	0.000593109084872534
RAPH1	0.00060298137390391
AP3M1	0.000669880915289411
SH2D7	0.000738376669994434
POC1B-GALNT4	0.000742671073493795
OR6T1	0.000762860137678567
MOB3C	0.000784323171369561
DOCK2	0.000814967773231756
CRYGD	0.000827544025875593
NCR2	0.000842323806348855
ALPP	0.000845520105668407
CXXC5	0.000870479178361472
PRKCQ	0.000907380420525183
GDPD4	0.00102582989175903
MINOS1	0.00108497939570118
BCHE	0.00109977985638732
TBC1D10A	0.00113295057832885
MMRN2	0.00117087079088329
FAM181A	0.00121026727992135
MIR1-1HG	0.00121049452784872
STK3	0.00132573309640327
RNLS	0.00137282134380179
PRKCSH	0.00155260886180997
SIPA1L1	0.00156413391148291
IDI1	0.0015659982387809
HMCN1	0.00168755817008392
VPS28	0.00172066599371912
OR10G4	0.00177723548953779
SH2D4A	0.00178693769837612
ABCB4	0.00192480158303343
YEATS2	0.00193110361763593
UROS	0.00195483360579651
IPCEF1	0.00196873417824595
AK2	0.00197018513920644
OR10G8	0.00200248820656168
LACTB2	0.00206186487749171
OR10G9	0.00210642493361768
MCM9	0.00211660688482729
NAALADL2	0.00224142764925961
RCN2	0.00246221588150342
PDIA5	0.0025188141391429
PIK3C2A	0.00256517677280999
LIMS2	0.0026238990297438
CDH13	0.00265204426722621
CHL1	0.00274747589359559
RB1	0.00298281483774021
FAT2	0.00299331209893483
SGCA	0.00299912217485665
MARK3	0.00302857495988063
CCPG1	0.00303367378099084
PLAGL2	0.00304665361243162
TRIM71	0.00304847527434615
TRAPPC3L	0.00307009723207829
KCTD19	0.00316925831052028
CHRNB3	0.00321041768851948
USP50	0.00322330450473496
TBC1D14	0.00325991465656816
DPP7	0.00326437266104218
GAS2L2	0.00343689903203426
EXOSC8	0.00346265443739879
TGFBI	0.00350310639366425
CSF1	0.00352119285804431
PPP2R3A	0.00360840297788567
COL4A4	0.00394733762515698
FN3KRP	0.00396403498399955
GCNT1	0.00397450864505133
TTC8	0.00402709737858042
SLC17A1	0.00413406280091211
MARCH2	0.00435189620577592
PRODH2	0.00442133544604462
PHPT1	0.00444409361468334
PRCC	0.0045847222583516
SLC2A5	0.00486022685219978
KRTAP4-4	0.00497095825897009
FAM149B1	0.00507357012984844
LPIN2	0.0050939485445054
DICER1	0.00518839194594967
PLPP1	0.0052012349638253
GLDN	0.00521274042131747
VPS36	0.00535138025730797
SLC6A9	0.00536979713319263
CPS1	0.00538093189766364
LUC7L	0.00543157399439176
PRADC1	0.00549199986204418
IL16	0.00552425075785956
MTFR2	0.00574527408956182
ENTPD4	0.00602471000964877
EPB41L4B	0.00603188181955194
RFPL4AL1	0.00603356683196787
C16orf62	0.00611702683244009
SHF	0.00624374798595406
PARP11	0.0063301351895878
SEPT14	0.00633929462395821
BHLHE41	0.00651213188475364
SYBU	0.00660613070145022
ADGRG3	0.00661904000557068
ANAPC5	0.00665681290406173
TEX47	0.00666695835367637
C5orf60	0.00669959366449158
SPATA31A1	0.00677545325123829
LHX1	0.00682683664893746
SUPT7L	0.0068793539966242
SERPINC1	0.00703104332446103
EIF2B1	0.00705105292447095
BCL2L12	0.00708652241530849
C6orf89	0.00721564694297971
SAMD9	0.00728915076749759
OR10A6	0.00732409211853891
RANBP9	0.00733484837363241
USF3	0.00733897678910533
CHPF2	0.00734294853751472
IFT27	0.00749239102618982
KRT1	0.00750039438852379
PSMB9	0.00757731245740967
ARMC6	0.0077303860247776
ZADH2	0.00773358560351112
SLC48A1	0.00780144004097794
KPNA7	0.00794974162494366
BTG4	0.00796024646065085
AGPS	0.00806611294329096
NEDD4L	0.00813013384371453
HS1BP3	0.00816893739549807
PARP15	0.00836270645245796
ANKRD13C	0.00845908567897158
DRAM2	0.00852037267074324
ASCC1	0.00857336761817795
KIAA1549	0.0087046572201056
CYP8B1	0.00872734208609549
CCDC39	0.00879987256267212
PTOV1	0.00886585067018386
BTN3A2	0.00888724105837468
LLPH	0.00898595364918986
GPR148	0.00905035708008906
AGAP2	0.00905391180581649
NSD3	0.00918637684605572
RTL1	0.00927077985027214
CASC1	0.00930556262340176
ELL3	0.00937750237453783
KLRF1	0.00947946059097782
FAM221A	0.0095822463759162
