gene_name	p_value
STK3	7.02730262546192e-05
GDPD4	8.82758842654097e-05
PTOV1	0.000177832250174315
EVPL	0.000336256185618833
DBX1	0.000417202044291298
CYP8B1	0.000455640257550627
SH2D4A	0.000519058422545848
MRS2	0.000593931630454736
MYO7A	0.000594284081557039
SKIV2L	0.000629855662218071
SIPA1L1	0.0007148647419708
NAALADL2	0.00073850771251327
YES1	0.000756762114886178
C12orf10	0.00111860874720837
FAT2	0.00123650952788545
EPM2A	0.00140314086358639
GORAB	0.00151464140130675
CCDC89	0.00155520779548102
ZNF70	0.00157029578383705
PCDHGB2	0.00162603571155262
CLINT1	0.00174655441515714
KLF13	0.00175665141977877
MMP3	0.00176291262862249
ANPEP	0.00181661734787508
OXR1	0.00183953685677019
DUS1L	0.00184282893072907
SP4	0.00187897850697105
KPNA7	0.00193049126059508
MAEL	0.00243021926739695
BTAF1	0.00255364758489784
DOCK2	0.0026358861281508
GCN1	0.00275350099377669
KRTAP1-5	0.00281155180015491
KDM7A	0.00284749941222939
BEGAIN	0.00311655429680169
DPP7	0.0031817207759065
RTP5	0.00320588957190182
ATP8A1	0.00332976337658286
TPGS2	0.00371400161536461
NOX5	0.00373350459144894
ETNK2	0.00397090613441886
ELSPBP1	0.00398402909358242
IFT27	0.00405159286443646
SETD9	0.00407148500632037
PSMD13	0.00438449109732897
TRPM5	0.00445403237105091
SNX1	0.00461429694918647
TANK	0.00470323408373774
DYDC1	0.00475445282293485
GCAT	0.00495973165358909
NKAIN1	0.00511808764853638
ZNF654	0.00530597026432322
LTB4R2	0.00540159283260699
ACSBG1	0.00540219020834509
LOC729159	0.00543225552211224
NUTM1	0.00546299304719922
GAPT	0.0054776030099567
CLCNKB	0.00549872422772524
SOX12	0.005568533078949
IDI1	0.00572077638288626
PRRC2A	0.0060208146694497
RNF25	0.00611993738724537
FOXC2	0.00613268435832381
TRIM71	0.00617821977270472
CHL1	0.00641802710717576
NR2E3	0.0065197832499353
SPATA6	0.00670675436303458
INMT	0.00691798818079958
VPS28	0.00694045960326295
OCSTAMP	0.00696370303430338
IFNA13	0.00700783106530423
RFX6	0.0071621218205038
PRKD3	0.00722223829669322
ELN	0.00731857443331063
KCNH7	0.00735425573384407
LIPE	0.00738302389000101
SAMD5	0.00763487484432113
C11orf42	0.00771527400648697
TNFRSF13C	0.00774573785265542
ZNF138	0.00792236642593536
CEACAM8	0.00795305177271755
CYP2C19	0.00804482581262156
ACAN	0.00818721674377465
ZNF658	0.00819803241612937
LPIN2	0.00835286605939722
PRMT5	0.00838429258571771
OR51Q1	0.00848763317121692
RINL	0.00857438110710429
ZC3H15	0.00860202902610208
ARMC3	0.00875300239638321
SAMD14	0.00877931280291089
NACA2	0.00880546359066847
RBM6	0.00882948809735995
GABRA4	0.00891273119205327
ABCB4	0.00892954841275495
C1orf112	0.00902303698857654
CLEC4F	0.00903707452240898
CAPN15	0.00918433636706817
C1QA	0.00922087957117113
OGFOD3	0.00956547324876067
LYSMD4	0.00974815792888029
RNASE8	0.00975569222852968
TTI1	0.00979724863115172
TPK1	0.00986316550485378
SLC39A12	0.00993744343592895
