gene_name	p_value
CHI3L1	8.04802157766682e-05
TESPA1	0.00011616370108658
PALM2	0.000177682426194425
C7orf34	0.000598778932771049
PRR22	0.000710811345434936
RSRC1	0.000713329427021403
TSFM	0.000744545764349791
DENND1B	0.000770493745038348
NCEH1	0.000920056414607351
STYK1	0.000928393935187399
NAPSA	0.000929187653469832
EPHA8	0.000938569289722135
NAGS	0.000956297688054497
ZBTB41	0.00096649838095697
MDM4	0.00105556386388506
PWP2	0.00129198475140657
SHANK1	0.00136540564392762
OR2C3	0.00137281447341531
AIMP1	0.00137602975609608
CCDC87	0.00141393364538622
NOS2	0.00146733045710978
PATJ	0.00178641773617239
UGT2B11	0.00198647376283556
OR4A5	0.00217953072056054
CCPG1	0.00251447209276978
BCL9L	0.00261016092475175
MTHFD1	0.00261513507078581
CXXC5	0.002634788716813
SLC3A2	0.0027302732639104
UBE4A	0.00274489736793104
PCYT2	0.00281035261340457
PPARGC1A	0.00295898824777296
NLRP3	0.00309815629049615
BICD2	0.00314205822344693
CROT	0.00328308743569816
SUSD1	0.00345870589739772
ADGRL3	0.00348411433032281
PXYLP1	0.00357050289420113
RASSF7	0.00361800910734023
AGBL2	0.00367236716312369
CERCAM	0.00375190368025291
FOS	0.00403207183733678
SAMD5	0.00409630950536877
RAI1	0.00417848111052332
BSCL2	0.00419467992978539
CCDC7	0.00424933814351236
ABLIM3	0.00429958575963352
SPDYE3	0.0043115482386924
ZNF682	0.00441971453366385
ZNF479	0.00447510908964743
POGZ	0.00464495406773124
PLD5	0.00491115746720372
BRD4	0.004957891156679
ATP8A1	0.00497851640993086
PITRM1	0.00510412474272071
CD86	0.00514413731780727
CYP1A2	0.00523730809267509
CRYGD	0.00526435203463693
DHRS12	0.00536590419893812
CD226	0.00539376008826187
CRISPLD2	0.00543557299424424
PCYOX1L	0.00562516901277654
SLC10A2	0.0057957147342883
C9orf57	0.00597019917827712
IMP4	0.00605912889974036
SUMF2	0.00606863672183122
OTUD6B	0.00625496924876789
PRPS1L1	0.00633246099751683
MFSD8	0.00642396339468854
CASKIN1	0.00642743501382181
EFL1	0.00643729933207715
ANKEF1	0.00644031246323906
RASSF8	0.006532305708704
GCA	0.0065844421679252
PRKRIP1	0.00660800294974662
ENDOV	0.00665784834115335
CES1	0.00665990777312353
QTRT1	0.00673678734858196
GLB1L3	0.00674975777010123
FSIP1	0.00692390951204858
SOX1	0.00704295094771457
ESR2	0.00727602983418096
SLC22A9	0.00730380404097342
C7orf25	0.00730499951397257
KLK11	0.00737081880482782
LCN8	0.00740041367785971
SMYD4	0.00740172560426355
C8B	0.00740627214084422
VSIG8	0.00761584144063376
CCR5	0.00763895260026237
FAM129C	0.007639057030707
TBX10	0.0077704670894202
STOX1	0.00781824826225586
FBXO36	0.00793084141860012
PRLHR	0.00798198217839741
OTUD4	0.00831718474333676
MAFA	0.00832311880998882
FAM181A	0.00849958187830357
GPC2	0.00864526004549426
ZG16B	0.0088086566292187
RTP5	0.00913074000320935
NOSTRIN	0.00928670370270746
ZNF823	0.00934429210912591
UTP18	0.00944482971046101
DPP3	0.00945050486657373
PAMR1	0.00965081475339291
SCYL3	0.00979628019235379
CSTF2T	0.0098629807736661
USP37	0.00994665740884648
ATP9A	0.00994900538982113
HLA-E	0.0102099204256509
EMILIN3	0.0102625026937896
HSPA4L	0.0102862337715814
TMEM53	0.0108031960703512
TEKT3	0.0108189835148816
HIVEP1	0.0110165696172052
DEUP1	0.0110586777949673
DENND4A	0.0110596748331279
INTU	0.0111808353284857
ZSCAN29	0.0114218605488566
POLRMT	0.0115115635911073
ADGRG5	0.0116429714762778
TRMT13	0.0118672108604799
ZNF286B	0.0120973199106177
LARP1	0.012122227853838
GANC	0.0121382857532851
NXN	0.0121494096767786
PRAMEF4	0.0121988387937274
OR51Q1	0.0122670576836194
PCDHA5	0.0122795998663491
ARHGEF38	0.0122810926322007
NEURL3	0.0125477738960529
THRAP3	0.0126835530128518
PRPF38B	0.0127055407584679
NR3C2	0.012755415898112
LIFR	0.0127653252976071
CEP290	0.0129023373164754
PSD	0.0129338289915019
ZNF761	0.0129611554442842
MOGAT1	0.0130300381015807
IL1F10	0.0130381895986849
CAV3	0.0131928027930562
SUCLG2	0.0132431569911946
MECOM	0.0132506329425974
CEL	0.0133391674443675
SEZ6	0.013563739607672
GPR161	0.0135702230597644
TDRD9	0.0138608759982372
DAG1	0.0140196064246744
ACER3	0.014028429355295
FAM120B	0.0140514202459312
FANCM	0.0140711741632101
SORBS1	0.0141983422612546
NXPE4	0.0143159675278689
GUCY1B3	0.014380350785461
ADAM33	0.014548581971993
MLPH	0.0146077114336255
DNAAF3	0.0147424433705431
SLC12A7	0.0148119774635219
C16orf74	0.0148700491552775
DSG2	0.0151663202971233
ZBTB3	0.015179917814613
ZNF100	0.0151837979773737
OR5B12	0.0151988509032822
SIX5	0.0152611535613609
OR56A5	0.0153401058999109
ADAMTS19	0.0153478284798045
KCNB2	0.0153905798842966
WAPL	0.0153950753123264
ZNF235	0.0154931740382698
SERINC1	0.0157424536615737
CHKB	0.0158374176664164
STRN3	0.0159541486004093
KDM7A	0.0159830382795979
MAX	0.0160909827319938
ALKBH8	0.0161202073888372
RDH16	0.0161283408895377
ECHDC1	0.0163273214940672
C1orf109	0.0163529993869902
COL14A1	0.0163939882952737
KLHL38	0.0164314776484293
EMC7	0.01643754249956
KIAA0368	0.0165648579344123
MYLK3	0.0166227956807977
CARF	0.0166314229618481
IFI44	0.016713813801024
SEMA3C	0.0167543358259078
NOX4	0.0168149615333737
CENPT	0.0168989287346951
CORO7	0.017005352075489
CHST8	0.0170677270876806
HCN3	0.0170855798083049
OR10X1	0.017121419451108
FOXD3	0.0171427256287378
ZNF282	0.0172079519225048
DUSP18	0.0172234918999455
NPR2	0.017383730178035
RGS11	0.0175977343319741
LDLRAD4	0.0176114484965898
EXOSC3	0.0176161100891475
CD4	0.0176742195641075
EEF1AKMT3	0.0178432479060616
GPBP1	0.0178878961763771
OR5M3	0.0179637551100985
CYYR1	0.0180157724023557
SLC33A1	0.0180733888218767
