gene_name	p_value
OR7A10	1.93645104473728e-06
VCPKMT	1.88396297454707e-05
C1QTNF9B	3.20430211961931e-05
SLC17A8	4.4604720832897e-05
PAPD4	7.53524521303062e-05
APCDD1	8.26054830757039e-05
GRM5	9.75654853005992e-05
RD3	0.000107374852135078
RIPK4	0.000123340266451777
PRKG1	0.000162256494554036
KLHL41	0.000179642204861663
HUNK	0.000190276246494703
AQP9	0.000241544436185404
ZNF732	0.000275944652144644
FSCB	0.00028844429503605
SLC35A5	0.000300263374685583
CHRNA6	0.000303791936329234
ZNF585B	0.000351448456213044
HEATR3	0.000374199053089885
MYH7B	0.000420001072218068
SLC12A2	0.000443988805745255
RAD52	0.000454040095434927
PYCR3	0.000456788368840777
LRP1	0.000498072088284673
RMDN1	0.000502594410456414
KMT5B	0.000545904674852049
ZCCHC7	0.000582483506530229
MCM2	0.000590745517952351
OR52B2	0.000604761531848852
KCNH8	0.000610168329175709
LNX1	0.000697945978190506
AKAP7	0.000855037229594235
CASP12	0.000881539782489837
SLC2A5	0.000926035958157434
GALNT3	0.000958567995584469
SLC22A4	0.00101456858480786
CIDEC	0.00102172774068032
DACH1	0.00109732274840724
NTRK3	0.00119429514885927
RMDN3	0.00119491971137642
SALL4	0.00121473398460559
ADGRG1	0.00128910787080894
SEMG2	0.00131281527202121
DENND4A	0.00133727610995682
TMEM45B	0.0013892761971902
UGT2B10	0.00143264410432786
ELMO1	0.00151202998275557
HIST1H2BE	0.00156333429432909
GRIN3B	0.00163287337874274
ABHD18	0.0016827840853384
RUFY4	0.00169443685749271
PROSER1	0.00170548866311537
OR7E24	0.00177572119292213
RNF38	0.00181623490500216
CHURC1-FNTB	0.00186213002670865
GLYR1	0.00193301592935946
CTR9	0.00202264958539156
ZSCAN25	0.00204440693657904
MFN2	0.00208280211051226
SEZ6	0.00210187260011507
AZIN2	0.00210738284126677
REXO2	0.00219163726691729
TMEM200A	0.00220656636637917
SIGLEC1	0.00224601601640995
SNUPN	0.00224987029636936
CAPN15	0.00225557946964239
ARFIP1	0.00234582761288604
ATP6V1B1	0.00242870874075363
RAB5C	0.00243161451121632
SRGN	0.00257818300808588
FOXJ2	0.00263757024396738
TTC3	0.0026701735604745
IPPK	0.00269861570730845
CPSF1	0.00271644441813856
GALC	0.00272781823639323
TBC1D19	0.00277035868787645
ZMYND10	0.00286251449433328
BCL11B	0.00287270625175551
ATG4B	0.00289778340918345
C5orf49	0.00292080897520819
CALR3	0.0029259704163308
POLM	0.00293575031533511
SLC6A2	0.00304682119910327
GLIS3	0.00312936456963242
FBXO31	0.00315873458440985
GZMB	0.00323355496737909
PGC	0.00324954309235359
MARVELD2	0.00326511290954434
PTPRO	0.00327410129401695
ATIC	0.00339917210636842
SYT13	0.00343431790815019
COL9A1	0.00350848303456264
FNIP1	0.0036393287747124
KIF21B	0.00365590145094075
HSPA4	0.00369759023907856
ZNF607	0.00370193568003951
F3	0.00376495655597342
RUNDC1	0.00377055677101679
BACH1	0.00377849872128089
CCL22	0.00381531844318406
KRT83	0.00387998065238415
C14orf80	0.0039072006295372
VWCE	0.00394453115716586
TMEM104	0.00399412409389766
OR6V1	0.00419154516043529
KIAA0319	0.00423351717072817
HAL	0.00435894646149593
SNX13	0.00436809658571524
AKR1B10	0.00436998959638268
AASDH	0.00438956640744914
RNF212	0.00463230829904315
CREG1	0.00468229422072786
SSC4D	0.00474229526921277
PIK3AP1	0.00474389424827726
BLVRB	0.00480636768729881
LEF1	0.00482857654122615
MTCL1	0.00489583850092778
BMP6	0.00513068854625953
CARNS1	0.00524813026445381
CNGA3	0.00563178891785709
ZNF132	0.00564185700495168
TET2	0.00574845812890157
VCAM1	0.00584382172300746
SYCE2	0.00595034401376027
NEK4	0.00595107861756061
COLCA2	0.00612763453858411
COLEC10	0.00614946554739204
HSPG2	0.00617655278588669
LGALS3BP	0.00627319371655688
TNIK	0.00629378109678513
MYL1	0.00634006085668104
CFAP69	0.00635458110122922
PLEKHA5	0.00641673437543611
PCSK1	0.00642931081711662
STON1	0.00651881754431494
PCDH12	0.00652218791176806
C6orf52	0.00665738126528703
JMJD7	0.00675162833092402
WNK1	0.00678477864718696
MIGA2	0.00678900291580253
PER1	0.00692585435175541
PSMD13	0.00696668821952307
DHCR24	0.00698558075260125
NWD2	0.00709782167887218
ABCG2	0.00712400675080149
COG7	0.0071695755512875
ATF7IP	0.0072261165167633
CCDC113	0.00730995601643458
AK8	0.00731509161508481
USP5	0.00734654352338138
PTPN1	0.00734755609668314
EEF2K	0.0073597433671404
FETUB	0.00737368955174333
DOK2	0.00744006781326434
ZNF138	0.00752086059854529
LAP3	0.00762493126347896
CWH43	0.00764361256583623
KIAA1024	0.00778579133882895
SFSWAP	0.00790814733109901
MED22	0.00791074229263455
GRXCR1	0.00792241937031934
TMEM184B	0.00802744904091712
RHOF	0.00810200395833427
ETV3L	0.00810366921257721
FANCA	0.00821862574970988
PPAT	0.00829448456568793
FAM173B	0.00833240270945057
NLRC4	0.00840536655550483
ZNF793	0.00846681551373174
PKP4	0.00850496658084632
EYA2	0.00851074633359139
BMPR1B	0.00853993964135202
DENND5B	0.00854472015304863
STK32C	0.00858772176725819
HELT	0.00885725678815363
TMC2	0.00886329483742343
ZNF846	0.00893155294514003
PSMD1	0.00900605508657049
HAVCR2	0.00902661981514041
ARFGAP1	0.00909305156504492
TUT1	0.00923322295957707
DUSP12	0.00925490075601554
RAPGEF4	0.00926119563671735
NCOA6	0.00928749967089604
NAA25	0.0093385021594925
GFI1B	0.00939468930778353
EXOC3L1	0.00941871578670506
ARPC4-TTLL3	0.00945612220049008
MEP1B	0.00962196202697374
TPSG1	0.00966401020531538
SELL	0.00971460070733621
RECQL5	0.00987344764964049
UBE2O	0.00988242330614564
PDE6A	0.0100503254853156
PABPC3	0.0100733058882752
UHRF1BP1L	0.0102007095127701
DGCR2	0.0104727162101996
EHD2	0.010511507196595
FREM1	0.0105476212381566
PTPN3	0.0105776344657249
CD274	0.0108128973568314
DONSON	0.0109466385602458
DPCR1	0.0110024039317039
MED19	0.0110220648570356
PTPRF	0.0110449447398234
