gene_name	p_value
HID1	4.21637317509216e-05
LPA	0.000192181505013211
PLEKHH3	0.00019519046968608
SENP7	0.000197953319021726
SLC6A9	0.000225999930400067
NCL	0.000272233162406654
TRIM43	0.000289464563081543
PBK	0.000298064655674835
PIGU	0.000469529637049382
RBKS	0.000482634094871037
LYZL1	0.000495417158012268
ATP8A1	0.000521569311843106
CHAF1B	0.000578245030533941
ZNF16	0.000708164946614631
ERCC1	0.000729574356356677
NKAIN3	0.00077596580369188
ATG2A	0.000786817686191488
AHNAK2	0.000880416032987053
KRT13	0.00100552563959067
SERINC5	0.001096882057249
ALS2CR12	0.00116772683974542
ARHGAP27	0.00122446241140206
OR5I1	0.00132264117763625
PPP1R3D	0.00133126863164101
PLEKHM1	0.00144533902353405
LAP3	0.0016624842265438
ZG16B	0.00166681411754011
ANXA7	0.00169561985380418
SHE	0.00175436851479716
SLC27A1	0.00178324238320637
TSTA3	0.0018528190481174
OR10J5	0.0018772015982319
TMX1	0.00192946917815073
BORCS5	0.00193043819144634
UGT1A5	0.00201612890468106
ITGA3	0.00209065377926221
STK33	0.00212419271710784
RINL	0.00219072508437546
OTP	0.00220673605204547
RBM28	0.00220729850729939
ZMYM4	0.00220795434904963
GLYAT	0.00229847055977128
ZSCAN18	0.00238489773076422
SLC38A11	0.00248335479230077
TWNK	0.00251612102573773
BMP10	0.00262136618944275
C17orf49	0.00263115818385573
TANC2	0.00268925146827725
ZMYM6	0.00274834380069433
PKD1L2	0.00279375916306113
EML3	0.00281027545873858
TSTD2	0.00285114324916425
PHTF2	0.00291635627295816
AHR	0.00292489220866543
MIER1	0.00298310769563415
ACADM	0.0029841841436804
MAP2K3	0.00299174635536337
MAPK4	0.00299462229171465
ZNF285	0.00302108301236337
DZIP3	0.00303174634335768
OR8D2	0.0030683336598113
GLT8D2	0.00320615799845914
FAM71E1	0.0032217477307005
ZNF329	0.00325684798095549
ZNF462	0.00326446360515542
EPS8L3	0.00329043478090607
TMEM35B	0.00335848713355125
NMNAT3	0.00346018917467306
GPR153	0.00351755253824759
ATP8B3	0.00361917908846576
PRLHR	0.00366262842701359
STX3	0.00370053236657009
CHORDC1	0.00381213206433295
NCKAP1	0.00381305913114616
C4A	0.00381477229994887
CCL18	0.0038518013993889
KAT2B	0.00389055856615916
MSRB2	0.00390132192172787
DISP1	0.00403217500743158
GORAB	0.00403260826001672
NOSTRIN	0.00422357302545695
TBCD	0.00424247073630946
C17orf53	0.00429972535824286
TBC1D15	0.00432792240745927
SLC8A3	0.00436413893655418
TSPEAR	0.00447815385912353
MUC6	0.0046086669030585
SDS	0.00470603903374778
CCDC14	0.00480878517912808
TPK1	0.00487059495173137
DHX29	0.00487443986667246
CD300LF	0.00488038759475329
CPSF3	0.00488297889527678
ATP13A2	0.00498112679113072
TMEM44	0.00499054391125242
CNTNAP2	0.00515310824433413
INTS11	0.00519889927861805
LTBP3	0.00532461706787779
ATP6V0E2	0.00533719895079754
TRH	0.00543617067325053
DCHS2	0.00551190502831911
COL20A1	0.00552958494521938
PLEKHH1	0.0056352534561338
GANC	0.00581928572985357
SF3B2	0.00595833111559874
TLR10	0.00597418674303241
SDR16C5	0.00609931202684866
ZNF606	0.00621640227970033
MAU2	0.00622674130266931
SCRN1	0.00626389391834103
CRTAC1	0.00629197815741633
APBB2	0.00630023555494852
ASPDH	0.00640953736901961
MINDY2	0.00642985395102769
PRSS54	0.00648975386729056
KRTAP4-12	0.00654800604510142
BTBD1	0.00658978066795379
CDK5R1	0.00659347925739462
ADORA3	0.006672611223693
SHQ1	0.00678866297972824
BCHE	0.00681781200601128
CSF1	0.00689225556100459
PLXNA1	0.00692991110411623
SLC5A1	0.0069555354113795
POTEE	0.0070244871490599
ESR1	0.00702916850294832
WFDC3	0.00708523561294727
PCBP4	0.00709738751735522
SYCE1	0.00715282195894706
SLC4A1AP	0.00731406985531247
FAM155A	0.00750355375292611
PRADC1	0.00751678001747325
PLCD4	0.00761180068315237
MCM2	0.00762701435536395
FAM189A2	0.00765430112931687
AATF	0.00783091947816195
H6PD	0.00785643089319321
DUSP6	0.00792405119087758
RASSF7	0.00795195828878958
FUZ	0.00801212431468679
FSIP1	0.00803638603776824
FAM13C	0.00806171467197747
GRAMD2B	0.00806554524259384
S100A3	0.00825853311932678
MC1R	0.00825974522261153
MIEF1	0.00829352803324868
ZDHHC7	0.00832361239251111
WEE2	0.00844457032316093
C9orf84	0.00848334560190467
DGCR14	0.0085899372507211
SEC24B	0.00866535319207806
PRMT5	0.00873377458865698
SIGLEC16	0.00877754631685879
ITGB8	0.00878816601697407
PLEKHM3	0.00880258236108966
ABCB11	0.00894714694503629
ARHGAP21	0.00909169933092779
ITIH5	0.00914478301659005
VIRMA	0.00916941593183362
PGS1	0.00921663976202525
CARHSP1	0.00930512671279382
TFPT	0.00933363153828681
AKAP9	0.00958121381421884
PLEKHG2	0.00985328926563322
GSTM4	0.0100105317405447
DNAJB5	0.0101609343869666
PTPRA	0.0102629380744982
CCRL2	0.010329882087498
GPSM2	0.0103967595826552
APOL6	0.0104818835694874
DGKZ	0.0104858306981978
PRR11	0.0105302077759175
SHARPIN	0.0105435646152507
ZCWPW1	0.0108463608847448
C12orf43	0.010907377114182
OR8K5	0.0109770878918778
CLK4	0.0112112985495766
CSN2	0.0112679901158159
DRC1	0.0113336450250456
CDRT15L2	0.0114268034297931
RASAL1	0.0114924816488038
ADAM15	0.0115426991574284
CEP57	0.0115701606941512
FAM227B	0.0119948461333617
TNRC18	0.0121388217265062
CRTAP	0.0123322707019663
PIGG	0.0123488028321291
