gene_name	p_value
NXF1	0.000151012860118094
ZNF607	0.000221323752671365
TUT1	0.000345154821678073
RD3	0.000416634102644586
HSPA4	0.000515051810988876
CFAP69	0.000574884919616991
MUC6	0.000749543111877582
TSPAN31	0.00105769402071387
DENND4A	0.00113536332938069
LPIN2	0.00136844004171777
RAPGEF4	0.00145504672125041
HNRNPUL2	0.0015254732162443
TXNDC5	0.00155008019504399
FAM173B	0.00171179426441614
APCDD1	0.00181953066073059
NTNG2	0.00196993586198135
HSD17B1	0.00206356673136332
RHOF	0.00209835870122144
SDCCAG3	0.00214824123818913
ELMO3	0.00229248224689027
MTHFSD	0.00258719380059425
COL14A1	0.00260827358081162
MYL1	0.00269294725531088
PROM2	0.00278097979622038
SERPINA1	0.00301014326160354
GAB4	0.00314126905129786
SYCE2	0.00318715874243924
MTCL1	0.00330260585329356
DRICH1	0.00343552017513138
TMEM45B	0.00353305764435319
KRTAP12-3	0.0036013294855507
TDRD7	0.00368016107216529
CR1	0.00368799885196114
OR2T2	0.00384907747669883
SIPA1L2	0.00428757177927086
FREM1	0.00436197940548178
SIPA1	0.00437466730697089
CARNS1	0.00444067069414622
UBE2O	0.0046744132245059
SLCO1A2	0.00504280578302729
PPHLN1	0.00507457001960754
CEACAM16	0.00508777093018731
AQP9	0.00509078579936595
PARD6B	0.00513066902703607
ZC3H3	0.00516361036396806
VPS53	0.00533169607227901
DSE	0.00552718768487437
FZD7	0.00555982240436204
GCNT2	0.00556397054999314
ARHGEF18	0.00589054719436344
BCAT2	0.00595525096936933
ZNF846	0.00609257769625215
SRP14	0.00617534497069194
RASAL2	0.00622960414919738
PBX4	0.00626013956373161
OR7E24	0.00637232131201193
ZNF497	0.00637931502124134
CHI3L1	0.00662748495685017
NEK3	0.00668588478721421
GTF2IRD1	0.0067493101052738
CNTD2	0.00677772971721624
KRTAP9-4	0.00682061889128738
CBS	0.00697929874904923
TCF19	0.00713593960703351
ZSWIM6	0.00723970990877099
BLVRB	0.00730928037108758
HECTD1	0.00731063432275603
IFT57	0.00737914591456779
PSMD2	0.00807747479763554
BMPR1B	0.0081047072594983
INSM2	0.00834191179852828
TTC29	0.00858735796062848
HERC2	0.0086243363003432
SRRM2	0.00895193156294805
RAP1GAP2	0.0092245731019891
COL9A2	0.009236838448896
LGALS13	0.00947712540218359
CLECL1	0.00949573739315057
CWC25	0.00950543509914648
LGSN	0.00964017979527887
C16orf96	0.00984405892945139
USP6	0.0102376891843732
G2E3	0.0104263060860847
CCDC97	0.0107388497299696
SERPINA12	0.0107857902850103
FBXO31	0.010805080696401
KRT83	0.010822328095338
DFFB	0.0108432711045885
THBS1	0.0110798887009659
MYO1E	0.011102099102282
ZNF763	0.0111225870806601
ALKBH8	0.0113226925801763
BAG4	0.0113709516708184
NDRG4	0.0114553046504952
SEMG2	0.0115230022758621
EXOC3L1	0.0115398433731885
TTC3	0.011812099152179
VIPR2	0.0118469297889491
FETUB	0.0120578123483744
SELE	0.0121075443329247
MEF2A	0.0122868422686943
IBTK	0.0123227634375942
ATP8A2	0.0123535367447013
SORCS1	0.0124286190361578
KIAA1257	0.0124561192839305
KDELC2	0.0125990212959997
OR10G3	0.0128379871047967
NOCT	0.0131287427903417
KRT76	0.0134555671448052
ATIC	0.0137862235180009
RNF225	0.0139250662304837
PTPN3	0.0139426665153741
NFATC3	0.0140477186088411
HHATL	0.0141190951986807
FRY	0.0141238499658556
GPD1	0.0142089915118252
ZNF131	0.0143403398734189
CELSR3	0.0144952156840173
CNKSR1	0.0145838184582177
NAPG	0.0146396530109382
CBARP	0.0147142347076274
WDR72	0.0147627465664896
CTNNAL1	0.0148044653377175
PRKAG3	0.0148332698812491
LRRC10	0.0151532787695254
GPR32	0.0152572449950878
MRPL58	0.0152626212075065
C10orf105	0.0153415732447264
GFM1	0.0153794907876029
SRGN	0.0155281357843292
EXOC3	0.0155328856699208
TANGO2	0.0156756218956015
C6orf52	0.0157221824169299
FBP2	0.0157323789574172
MMRN1	0.01579693902877
ESM1	0.0159394908799655
GALNT16	0.0159399712813066
FRS3	0.0160069816765438
