gene_name	p_value
RD3	7.9064952448693e-05
APCDD1	9.88916823746466e-05
DENND4A	0.000120339604992692
AQP9	0.000207363206032873
ZNF607	0.000223475995425382
TMEM45B	0.000234528365145814
HSPA4	0.000275924855895338
TUT1	0.000293278646403383
CFAP69	0.000660458192541902
RIPK4	0.000724236196395278
SEMG2	0.000776364681004282
OR7E24	0.00077838292772181
FAM173B	0.000906771829612296
RAPGEF4	0.00105957199615825
NXF1	0.00109531501186566
COL14A1	0.00110878501143907
MUC6	0.00121828919433364
UBE2O	0.00123071760359683
MTCL1	0.0012879751310958
RHOF	0.00147875442722845
C1QTNF9B	0.00151896148212705
CIDEC	0.00157305984736278
MYL1	0.00174728115351752
RAD52	0.00175797070711403
CR1	0.00179242840197247
SLC12A2	0.00184533467601244
SYCE2	0.00192106776885015
OR7A10	0.00197017822789114
MYH7B	0.00212920479246004
FREM1	0.00233851327762202
SRGN	0.00234252598783302
SDCCAG3	0.00242505725390596
FBXO31	0.00244688607187182
CARNS1	0.00261944573849504
NOL10	0.00283290371329825
KRT83	0.00284599407467456
FETUB	0.00287903089637231
GLIS3	0.00296690739769612
TTC3	0.00312563508854657
CASP12	0.00321897054088605
FSCB	0.00322685658644262
CLECL1	0.00343587401878842
ADGRG1	0.00350194606060761
AASDH	0.00354663006469513
ZNF846	0.00368275895245973
MFN2	0.00379474304260308
VPS53	0.00400584469482435
KIAA0319	0.00403637853841632
NTNG2	0.00408653788961133
LRP1	0.00419368302226331
ATIC	0.00420437215854941
BCL11B	0.00430249984829234
AKR1B10	0.00436268311278498
ELMO3	0.00446855986491812
MTHFSD	0.00458380419735405
BLVRB	0.00467643903859782
UGT2B10	0.00481190339757143
SIGLEC1	0.00488656289557488
C5orf49	0.00498810834744312
MARVELD2	0.00503890154530118
LNX1	0.00512937674660718
USP5	0.00520849393881928
COG7	0.00531737600271687
BCAS3	0.00532663219791918
GFI1B	0.00540214788066518
PGC	0.00549066572507917
EXOC3L1	0.00552230633370876
LAP3	0.0056947093477181
FRY	0.00572950552735418
LPIN2	0.00584649728393072
WFIKKN1	0.00619480068131706
PROM2	0.00628644637876474
G2E3	0.00641633073829517
ABHD18	0.00655718063933075
HSPG2	0.00659879038192002
BMP6	0.00666670262921876
PROSER1	0.00676869418497272
TTC29	0.00704316388873349
GPATCH1	0.00716417859846918
CD2AP	0.00732375776249361
PTPN3	0.00735928756790949
MAP3K13	0.0073624828561285
ZNF793	0.00744374623610866
HERC2	0.00744386968940525
DRICH1	0.00749506420634427
SORCS1	0.00763917413748461
DHCR24	0.00766292089847975
LEF1	0.00772670071000547
KDELC2	0.00773571991692912
HECTD1	0.00773806473887384
MED22	0.00777326757003294
LIFR	0.00802641471515642
CIAPIN1	0.00808958301311147
VPS13D	0.00812774900893287
GRIN3B	0.00814999989128773
BMPR1B	0.00827521367559392
PBX4	0.00829878780456861
TDRD7	0.00862167274884007
EHD2	0.00889066308505715
RNF38	0.00889576028474459
CUL7	0.00898262279406004
SERPINA12	0.0090124226245144
HAL	0.00904337694024238
NDRG4	0.00904443289778389
COLEC10	0.00930873305632363
SIPA1L2	0.00938687474845612
NR3C2	0.00948830839247072
MRPL2	0.00956030379448425
GOLGA6L2	0.00964097878993964
DGCR2	0.00975658969757198
TXNDC5	0.00975893477119794
SLC45A1	0.0097669290875998
PARD6B	0.0101373262658808
NCOA6	0.0103566395364898
COLCA2	0.0103977548778702
ZMYND10	0.0104642823451637
KCNH8	0.0106808199853936
ZC3H3	0.0108079622883258
ANKRD55	0.0108500130532513
OR52B2	0.0108746258858019
GRXCR1	0.0109305006701687
SYT13	0.0110143730592605
SLC6A6	0.0111751051625927
IPPK	0.0114317369938615
DUSP12	0.0115793858914788
FZD2	0.0117412016710191
TRIM4	0.0118137793259385
OR10G3	0.0118139059393587
GPER1	0.0119091310451053
ANKRD17	0.0120202589256843
TMEM184B	0.0122524473010697
KRT71	0.0122577551328088
SRP14	0.0124268502340342
ZNF497	0.0125395185043908
RAP1GAP2	0.0127695670682891
SELE	0.0128961966138756
HNRNPUL2	0.0129196864828734
RELA	0.0131208069256217
TBCC	0.0131961291400992
BACH1	0.0132519611534839
PCSK1	0.0134365364023291
SERPINA1	0.0134544485257335
SLCO1A2	0.0136451154736904
SBK2	0.0137024724288545
JAK1	0.0138624647729967
SHBG	0.0138732851540204
C16orf96	0.0139315192943863
HRNR	0.0140601257251556
EYA2	0.0141583489459496
TMEM108	0.0141934468604832
ADCY9	0.0142165978809493
CPB1	0.014329204823242
DSEL	0.0145547831582309
CLUAP1	0.0147745706109639
SDSL	0.0148990645770876
C6orf52	0.0149733285589732
GPD1	0.0150138077196662
DFFB	0.0150405228701553
DENND6B	0.0152062847969751
TRPM5	0.0153766015012008
MRPL38	0.0155560647656715
KRT80	0.0155744868567931
GAB4	0.0157068730665235
SRRM2	0.0158422079447239
FZD7	0.0162419253718864
ZNF253	0.0162549076185726
PSMD13	0.0163143044813178
POMGNT2	0.0163200494694745
BIK	0.0164709283280138
TANGO2	0.0164806084181779
P2RX4	0.0165346039784016
MYLK4	0.0165754647843647
RUFY4	0.0167434572466869
BEND5	0.0167654278483068
ICMT	0.016894770238766
C14orf37	0.0169278104072377
ZNF585B	0.0170580743729596
RNF225	0.0171975749131528
GTF2IRD1	0.0173428394999341
C10orf113	0.0174214476500063
FOLH1B	0.0176205660287909
TTC8	0.017765151602974
HIST1H2BE	0.0180395244821939
RASAL2	0.0180509845044877
MPP3	0.018065346557771
GRIK2	0.0181990157854827
CREG1	0.0182570216803385
MRPL58	0.0185077242652204
GPR37L1	0.0185903421558269
MYO1E	0.0187781229923401
HSD17B1	0.0188285307884165
FAM83A	0.0189219752547822
ANKDD1A	0.0189490659838683
NAA16	0.018963970128132
CHI3L1	0.0191755023678141
CNKSR1	0.0192752033944367
LNPEP	0.019546954763772
KIAA1257	0.0196408605845745
JADE1	0.019761098506661
ARHGEF18	0.0197922872842573
REXO2	0.0198003344320802
MEF2A	0.0199971242920348
DNAJB1	0.0200214136858347
PPHLN1	0.0201534848425812
NASP	0.0203649927222694
