SetID	MetaSKATO_P	METASKATO_exome_wide_check	RE_ORsum	RE_ORsum_L95	RE_ORsum_U95	RE_ORsum_SE	RE_tau2	RE_het	RE_hetP	FE_ORsum	FE_ORsum_L95	FE_ORsum_U95	FE_ORsum_SE	FE_tau2	FE_het	FE_hetP	cohort1_P.value	cohort1_N.Marker.All	cohort1_N.Marker.Test	cohort1_MAC	cohort1_m	cohort1_Method.bin	cohort1_MAP	cohort1_cases_cMAC	cohort1_cases_cMAF	cohort1_controls_cMAC	cohort1_controls_cMAF	cohort1_no_of_carriers	cohort1_enrichment_ratio	cohort1_P_regression	cohort1_OR_noOfMutations	cohort1_OR_L95	cohort1_OR_U95	cohort1_eff_estimate	cohort1_eff_stdErr	cohort1_exome_wide_check	cohort2_P.value	cohort2_N.Marker.All	cohort2_N.Marker.Test	cohort2_MAC	cohort2_m	cohort2_Method.bin	cohort2_MAP	cohort2_cases_cMAC	cohort2_cases_cMAF	cohort2_controls_cMAC	cohort2_controls_cMAF	cohort2_no_of_carriers	cohort2_enrichment_ratio	cohort2_P_regression	cohort2_OR_noOfMutations	cohort2_OR_L95	cohort2_OR_U95	cohort2_eff_estimate	cohort2_eff_stdErr	cohort2_exome_wide_check	chr	start	end	gene_type	strand	additional_info1	additional_info2
Gene839	0.0031361945607441	NA	1.965	1.207	3.197	0.248	0	0.449925657372141	0.502370260600484	7.79	4.788	12.676	0.248	47.9412595	196.292011731878	0	0.0118934690088625	10	10	45	24	MA	-1	35	0.011905	10	0.003268	24	3.643	0.0242033888151982	1.833	1.082	3.103	0.606	0.269	NA	0.0723700471331188	10	5	11	7	ER	0.00180688509487782	9	0.004639	2	0.000971	7	4.778	0.0961588014885843	2.934	0.826	10.423	1.076	0.647	NA	1	1257500	1258500	protein_coding	+	info839	info839
Gene418	0.00377013013466676	NA	0.509	0.315	0.821	0.244	0	0.00155183334506299	0.968576808838379	0.9	0.557	1.452	0.244	1.7030305	12.9855760433528	0.000313899752290236	0.0160133733146418	10	10	44	29	MA	-1	11	0.003741	33	0.010784	29	0.347	0.0194317654121625	0.505	0.285	0.896	-0.682	0.292	NA	0.00139645795069319	10	10	23	9	ER.A	-1	3	0.001546	20	0.009709	9	0.159	0.138885905519166	0.517	0.215	1.239	-0.661	0.446	NA	1	626000	627000	non_coding	-	info418	info418
Gene990	0.00805107642800917	NA	1.773	1.169	2.69	0.213	0	0.0764495366903566	0.782167827699926	5	3.296	7.585	0.213	6.5670215	61.3384112866548	4.77395900588817e-15	0.0431098413491732	10	10	44	25	MA	-1	31	0.010544	13	0.004248	25	2.482	0.0347504669348501	1.707	1.039	2.805	0.535	0.253	NA	0.147128311074806	10	9	21	12	ER.A	-1	16	0.008247	5	0.002427	12	3.398	0.090727804994403	1.942	0.9	4.189	0.664	0.392	NA	1	1484000	1485000	non_coding	-	info990	info990
Gene1131	0.00806513899883787	NA	0.42	0.125	1.418	0.62	0.562786	3.4098468758564	0.064808459987595	0.852	0.505	1.437	0.267	0.284626	2.21876712798027	0.136341897218564	0.328903212419697	10	9	31	21	ER.A	-1	11	0.003741	20	0.006536	21	0.572	0.234669050555243	0.704	0.394	1.256	-0.351	0.296	NA	0.00475763304951096	10	10	24	19	ER.A	-1	3	0.001546	21	0.010194	19	0.152	0.00886581667029109	0.199	0.06	0.667	-1.613	0.616	NA	1	1695500	1696500	protein_coding	+	info1131	info1131
Gene1235	0.0127313606725226	NA	2.504	0.815	7.694	0.573	0.302122	1.52844399356328	0.216346123850052	512.52	260.373	1008.844	0.346	1138.2660925	1991.95027723361	0	0.151316922720968	10	10	28	23	ER.A	-1	19	0.006463	9	0.002941	23	2.198	0.110683871972101	1.799	0.874	3.701	0.587	0.368	NA	0.0219366244950678	10	6	11	8	ER	0.00088731843266322	10	0.005155	1	0.000485	8	10.629	0.0573196075723131	6.747	0.942	48.312	1.909	1.004	NA	1	1851500	1852500	protein_coding	+	info1235	info1235
Gene366	0.0127350600693242	NA	1.355	0.298	6.152	0.772	0.9963795	5.79091947252642	0.0161091614666532	5.736	3.426	9.605	0.263	51.4861395	248.562247412519	0	0.0113425877774906	10	10	32	21	ER.A	-1	10	0.003401	22	0.00719	21	0.473	0.181284206764789	0.674	0.377	1.202	-0.395	0.296	NA	0.0320679185927742	10	9	21	10	ER.A	-1	19	0.009794	2	0.000971	10	10.087	0.0432211156386797	3.182	1.036	9.773	1.157	0.573	NA	1	548000	549000	non_coding	-	info366	info366
Gene529	0.0127441872967137	NA	0.444	0.16	1.232	0.521	0.30369	2.09496235830281	0.147785351387144	0.882	0.475	1.636	0.315	0.4680685	2.68763340448239	0.101129915353785	0.0185055593463644	10	6	23	16	ER.A	-1	8	0.002721	15	0.004902	16	0.555	0.253138450984704	0.663	0.327	1.342	-0.411	0.36	NA	0.0134715386186599	10	8	20	16	ER	1.55728634465177e-06	3	0.001546	17	0.008252	16	0.187	0.0223951066839883	0.226	0.063	0.81	-1.489	0.652	NA	1	792500	793500	protein_coding	+	info529	info529
Gene782	0.0169330419216313	NA	0.381	0.09	1.604	0.734	0.6151545	2.05796629116863	0.151412132562153	0.821	0.368	1.83	0.409	0.365238	1.6281503138705	0.201959077117036	0.527636207555053	10	7	21	20	ER.A	-1	8	0.002721	13	0.004248	20	0.641	0.331187141078455	0.646	0.268	1.559	-0.437	0.45	NA	0.00438320529755438	10	4	14	10	ER	0.000314425921475018	1	0.000515	13	0.006311	10	0.082	0.0429301859781189	0.138	0.02	0.939	-1.984	0.98	NA	1	1172000	1173000	non_coding	-	info782	info782
Gene907	0.0208940086683254	NA	0.539	0.282	1.029	0.33	0	0.000247080898392626	0.987458722910163	Inf	Inf	Inf	0.33	NA	NA	NA	0.0644829699284704	10	8	31	18	ER.A	-1	7	0.002381	24	0.007843	18	0.304	0.06062175020912	0.539	0.282	1.028	-0.618	0.33	NA	0.242978775000975	10	3	5	4	ER	0.0126922533261575	0	0	5	0.002427	4	0	0.98693908888952	0	0	Inf	-15.539	949.245	NA	1	1359500	1360500	protein_coding	+	info907	info907
Gene1161	0.0213016275079475	NA	0.915	0.221	3.782	0.724	0.747388	3.21463716732869	0.0729823702755648	2.093	1.091	4.014	0.332	0.2609415	1.77321383859321	0.182984840812578	0.012720445712951	10	8	24	17	ER.A	-1	17	0.005782	7	0.002288	17	2.527	0.169470352155898	1.67	0.803	3.473	0.513	0.373	NA	0.0183041908387709	10	4	9	7	ER	0.00307021258382287	2	0.001031	7	0.003398	7	0.303	0.189554220152683	0.383	0.091	1.607	-0.96	0.732	NA	1	1740500	1741500	protein_coding	+	info1161	info1161
Gene176	0.0213829227214631	NA	1.529	0.983	2.379	0.225	0.012081	1.1160730584833	0.290765600044807	5.578	3.699	8.413	0.21	0.859191	9.2550225305291	0.00234850445998835	0.0206382179697955	10	8	30	13	ER.A	-1	26	0.008844	4	0.001307	13	6.767	0.0487206848175226	2.119	1.004	4.47	0.751	0.381	NA	0.449078584157068	10	10	32	14	ER.A	-1	21	0.010825	11	0.00534	14	2.027	0.282349460574316	1.309	0.801	2.139	0.269	0.251	NA	1	263000	264000	non_coding	-	info176	info176
Gene633	0.0219184141408613	NA	1.668	1.053	2.641	0.234	0	0.0467643182389216	0.828792420206784	6.998	4.419	11.081	0.234	2.62203	24.1157404754453	9.0715749656578e-07	0.101876766814638	10	10	26	13	ER.A	-1	21	0.007143	5	0.001634	13	4.371	0.116350330789084	1.772	0.868	3.621	0.572	0.365	NA	0.123520782856751	10	9	27	9	ER.A	-1	22	0.01134	5	0.002427	9	4.672	0.125574367363298	1.598	0.877	2.911	0.469	0.306	NA	1	948500	949500	protein_coding	+	info633	info633
Gene799	0.0231329537960446	NA	1.676	1.057	2.656	0.235	0	0.107300817523588	0.743238293962864	4.736	2.988	7.505	0.235	9.3353715	64.2302104428986	1.11022302462516e-15	0.0479935285336432	10	9	33	15	ER.A	-1	26	0.008844	7	0.002288	15	3.865	0.0820260644971175	1.603	0.942	2.727	0.472	0.271	NA	0.0197623564385784	10	8	16	12	ER	5.63054687024959e-05	11	0.00567	5	0.002427	12	2.336	0.167596747172528	1.916	0.761	4.827	0.65	0.471	NA	1	1197500	1198500	protein_coding	+	info799	info799
