SetID	p.value
Gene1	0.304078118883913
Gene10	0.414906710944085
Gene100	0.540322966457312
Gene1000	0.512242187064305
Gene1001	0.626674312185577
Gene1002	0.115574786597073
Gene1003	0.440657320024868
Gene1004	0.355129096731968
Gene1005	0.854255727480671
Gene1006	0.177612289357184
Gene1007	0.848665338164604
Gene1008	0.186413905772613
Gene1009	0.717599911405107
Gene101	0.394183913554416
Gene1010	0.678714710622999
Gene1011	1
Gene1012	0.259286074755425
Gene1013	0.533842996682188
Gene1014	0.87298498013121
Gene1015	0.0657634380699387
Gene1016	0.625616566576891
Gene1017	0.799457154268508
Gene1018	1
Gene1019	0.808969396928567
Gene102	0.592832680082805
Gene1020	0.352097154189183
Gene1021	0.213849312824617
Gene1022	0.12123897490716
Gene1023	0.286931025327354
Gene1024	0.533564344116989
Gene1025	0.0750656565249374
Gene1026	0.244314916629773
Gene1027	0.2979242837163
Gene1028	0.55223631597385
Gene1029	1
Gene103	0.140467048596347
Gene1030	0.120598217368508
Gene1031	0.116421130890009
Gene1032	0.206938191901551
Gene1033	0.29319556978246
Gene1034	0.7238054813041
Gene1035	0.488963556426082
Gene1036	0.796099151632696
Gene1037	0.229718151496819
Gene1038	0.587303592083692
Gene1039	0.412471817286992
Gene104	0.891287211116393
Gene1040	0.577497599378847
Gene1041	0.554896758546445
Gene1042	0.493539971743215
Gene1043	0.583012815598027
Gene1044	0.575309751217928
Gene1045	0.46016971091002
Gene1046	0.6284233000538
Gene1047	0.514372585205471
Gene1048	0.0956583314640116
Gene1049	0.714779653883028
Gene105	0.458381278853609
Gene1050	0.825548829874304
Gene1051	0.279528977067198
Gene1052	0.762482806746094
Gene1053	0.51286838933115
Gene1054	0.896503645883295
Gene1055	0.495511760332855
Gene1056	0.800524315786365
Gene1057	0.531440079490823
Gene1058	1
Gene1059	0.674837080733831
Gene106	0.62628508755782
Gene1060	0.310060117024979
Gene1061	0.802204584334689
Gene1062	0.276141268691848
Gene1063	0.0602664846536233
Gene1064	0.221340915008576
Gene1065	0.734925492411463
Gene1066	0.351299043790751
Gene1067	0.254608300139045
Gene1068	0.769492392651406
Gene1069	0.142287834977295
Gene107	0.392321093822441
Gene1070	0.183436876589853
Gene1071	0.583299097787289
Gene1072	0.740938419561453
Gene1073	0.174261321362722
Gene1074	0.0927004475647413
Gene1075	0.558877424434011
Gene1076	0.693628710055069
Gene1077	0.258604150284843
Gene1078	0.775715536132989
Gene1079	0.550967888883094
Gene108	0.594142100634998
Gene1080	0.53728706389911
Gene1081	0.649270071131673
Gene1082	0.604966436743954
Gene1083	0.829466614559005
