SetID	P.value	N.Marker.All	N.Marker.Test	cMAC	cMAF	medANDav_Pheno	Carriers_AvPheno	nonCarriers_AvPheno	AvDiff_Pheno	Carriers_medianPheno	nonCarriers_medianPheno	medianDiff_Pheno	no_of_carriers	P_regression	BETA_noOfMutations	BETA_L95	BETA_U95	eff_estimate	eff_stdErr	chr	start	end	gene_type	strand	additional_info1	additional_info2	exome_wide_check
Gene714	0.00167637720579306	10	7	14	0.002333	48_48.61	74.545	47.623	26.923	91	47	44	11	0.000742845704779283	22.279	9.47	35.087	22.279	6.535	1	1070000	1071000	non_coding	-	info714	info714	NA
Gene443	0.00409468268752078	10	10	33	0.0055	48_48.61	29.64	50.335	-20.695	25	50	-25	25	0.00176035617611097	-13.01	-21.088	-4.933	-13.01	4.121	1	663500	664500	protein_coding	+	info443	info443	NA
Gene787	0.00638340327760778	10	7	25	0.004167	48_48.61	34.222	49.528	-15.306	25.5	49	-23.5	18	0.00405822368615793	-13.484	-22.609	-4.36	-13.484	4.656	1	1179500	1180500	protein_coding	+	info787	info787	NA
Gene890	0.0069552190621851	10	6	16	0.002667	48_48.61	67.222	48.034	19.188	80	48	32	9	0.0506044217935419	10.262	0.015	20.509	10.262	5.228	1	1334000	1335000	non_coding	-	info890	info890	NA
Gene919	0.00720211832452955	10	8	21	0.0035	48_48.61	66.625	47.595	19.03	74.5	46	28.5	16	0.00425769368888201	13.987	4.471	23.503	13.987	4.855	1	1377500	1378500	protein_coding	+	info919	info919	NA
Gene698	0.00744368303754495	10	8	26	0.004333	48_48.61	42.474	49.025	-6.551	39	48	-9	19	0.17216036322983	-6.089	-14.808	2.631	-6.089	4.449	1	1046000	1047000	non_coding	-	info698	info698	NA
Gene545	0.00868102250738267	10	10	36	0.006	48_48.61	59.238	47.81	11.428	64	47	17	21	0.0450226738696311	6.948	0.183	13.712	6.948	3.451	1	816500	817500	protein_coding	+	info545	info545	NA
Gene317	0.00875966732342037	10	8	30	0.005	48_48.61	66.647	47.527	19.121	64	45	19	17	0.00632055516686741	9.501	2.731	16.272	9.501	3.454	1	474500	475500	protein_coding	+	info317	info317	NA
Gene450	0.0094217516851024	10	6	17	0.002833	48_48.61	61.385	48.031	13.353	82	48	34	13	0.773350216220924	1.609	-9.333	12.552	1.609	5.583	1	674000	675000	non_coding	-	info450	info450	NA
Gene58	0.00942853771657259	10	6	9	0.0015	48_48.61	78.857	47.887	30.97	80	47	33	7	0.00447904229621626	23.311	7.36	39.261	23.311	8.138	1	86000	87000	non_coding	-	info58	info58	NA
