SetID	P.value	N.Marker.All	N.Marker.Test	MAC	m	Method.bin	MAP	cases_cMAC	cases_cMAF	controls_cMAC	controls_cMAF	no_of_carriers	enrichment_ratio	P_regression	OR_noOfMutations	OR_L95	OR_U95	eff_estimate	eff_stdErr	chr	start	end	gene_type	strand	additional_info1	additional_info2	exome_wide_check
Gene496	0.000652508954746572	10	9	21	14	ER.A	-1	10	0.005155	11	0.00534	14	0.965	0.96387820175458	0.984	0.486	1.993	-0.016	0.36	1	743000	744000	non_coding	-	info496	info496	suggestiveHit
Gene418	0.00139645795069319	10	10	23	9	ER.A	-1	3	0.001546	20	0.009709	9	0.159	0.138885905519166	0.517	0.215	1.239	-0.661	0.446	1	626000	627000	non_coding	-	info418	info418	NA
Gene1363	0.00260618909184916	10	10	24	16	ER.A	-1	11	0.00567	13	0.006311	16	0.898	0.845640799744591	0.943	0.519	1.71	-0.059	0.304	1	2043500	2044500	protein_coding	+	info1363	info1363	NA
Gene1314	0.00395326295095384	10	9	26	17	ER.A	-1	8	0.004124	18	0.008738	17	0.472	0.18967161913917	0.63	0.315	1.257	-0.463	0.353	1	1970000	1971000	non_coding	-	info1314	info1314	NA
Gene782	0.00438320529755438	10	4	14	10	ER	0.000314425921475018	1	0.000515	13	0.006311	10	0.082	0.0429301859781189	0.138	0.02	0.939	-1.984	0.98	1	1172000	1173000	non_coding	-	info782	info782	NA
Gene1131	0.00475763304951096	10	10	24	19	ER.A	-1	3	0.001546	21	0.010194	19	0.152	0.00886581667029109	0.199	0.06	0.667	-1.613	0.616	1	1695500	1696500	protein_coding	+	info1131	info1131	NA
Gene609	0.00775374969295106	10	9	25	15	ER.A	-1	22	0.01134	3	0.001456	15	7.788	0.0234041412396601	3.658	1.192	11.225	1.297	0.572	1	912500	913500	protein_coding	+	info609	info609	NA
Gene413	0.00778068624919404	10	5	14	7	ER	0.00101892929331627	10	0.005155	4	0.001942	7	2.654	0.158728735863826	1.859	0.785	4.406	0.62	0.44	1	618500	619500	protein_coding	+	info413	info413	NA
Gene201	0.00869022837868159	10	10	24	16	ER.A	-1	16	0.008247	8	0.003883	16	2.124	0.261254271036353	1.477	0.748	2.917	0.39	0.347	1	300500	301500	protein_coding	+	info201	info201	NA
Gene53	0.00883161761072713	10	8	14	10	ER	0.000143036487810941	11	0.00567	3	0.001456	10	3.894	0.166448296421653	2.62	0.67	10.25	0.963	0.696	1	78500	79500	protein_coding	+	info53	info53	NA
Gene158	0.0108701058334427	10	8	24	13	ER.A	-1	15	0.007732	9	0.004369	13	1.77	0.279718688809938	1.39	0.765	2.524	0.329	0.304	1	236000	237000	non_coding	-	info158	info158	NA
Gene529	0.0134715386186599	10	8	20	16	ER	1.55728634465177e-06	3	0.001546	17	0.008252	16	0.187	0.0223951066839883	0.226	0.063	0.81	-1.489	0.652	1	792500	793500	protein_coding	+	info529	info529	NA
Gene72	0.0136055127952939	10	7	15	12	ER	4.24241904893681e-05	13	0.006701	2	0.000971	12	6.901	0.0264595245376701	5.357	1.217	23.589	1.678	0.756	1	107000	108000	non_coding	-	info72	info72	NA
Gene879	0.0137007487947069	10	7	17	11	ER	0.000225003149588306	10	0.005155	7	0.003398	11	1.517	0.611970323050798	1.212	0.577	2.548	0.192	0.379	1	1317500	1318500	protein_coding	+	info879	info879	NA
Gene357	0.0152569332451402	10	9	10	4	ER	0.0152569332451402	3	0.001546	7	0.003398	4	0.455	0.426533812580778	0.698	0.288	1.693	-0.359	0.452	1	534500	535500	protein_coding	+	info357	info357	NA
Gene880	0.0158377044982701	10	7	19	13	ER	1.89643757422858e-05	13	0.006701	6	0.002913	13	2.3	0.152433457195969	1.78	0.808	3.919	0.576	0.403	1	1319000	1320000	non_coding	-	info880	info880	NA
Gene538	0.0170324643230446	10	10	19	12	ER	1.92431527114895e-05	1	0.000515	18	0.008738	12	0.059	0.0479420330146707	0.152	0.024	0.983	-1.884	0.952	1	806000	807000	non_coding	-	info538	info538	NA
Gene1134	0.0172117353646153	10	10	21	15	ER.A	-1	11	0.00567	10	0.004854	15	1.168	0.928663903650497	1.029	0.556	1.903	0.028	0.314	1	1700000	1701000	non_coding	-	info1134	info1134	NA
Gene460	0.0173995308285375	10	7	18	15	ER	5.40464204348918e-06	7	0.003608	11	0.00534	15	0.676	0.353169163787377	0.661	0.275	1.585	-0.415	0.446	1	689000	690000	non_coding	-	info460	info460	NA
