SetID	MetaSKATO_P	METASKATO_exome_wide_check	RE_BETAsum	RE_BETAsum_L95	RE_BETAsum_U95	RE_BETAsum_SE	RE_tau2	RE_het	RE_hetP	FE_BETAsum	FE_BETAsum_L95	FE_BETAsum_U95	FE_BETAsum_SE	FE_tau2	FE_het	FE_hetP	cohort1_P.value	cohort1_N.Marker.All	cohort1_N.Marker.Test	cohort1_cMAC	cohort1_cMAF	cohort1_medANDav_Pheno	cohort1_Carriers_AvPheno	cohort1_nonCarriers_AvPheno	cohort1_AvDiff_Pheno	cohort1_Carriers_medianPheno	cohort1_nonCarriers_medianPheno	cohort1_medianDiff_Pheno	cohort1_no_of_carriers	cohort1_P_regression	cohort1_BETA_noOfMutations	cohort1_BETA_L95	cohort1_BETA_U95	cohort1_eff_estimate	cohort1_eff_stdErr	cohort1_exome_wide_check	cohort2_P.value	cohort2_N.Marker.All	cohort2_N.Marker.Test	cohort2_cMAC	cohort2_cMAF	cohort2_medANDav_Pheno	cohort2_Carriers_AvPheno	cohort2_nonCarriers_AvPheno	cohort2_AvDiff_Pheno	cohort2_Carriers_medianPheno	cohort2_nonCarriers_medianPheno	cohort2_medianDiff_Pheno	cohort2_no_of_carriers	cohort2_P_regression	cohort2_BETA_noOfMutations	cohort2_BETA_L95	cohort2_BETA_U95	cohort2_eff_estimate	cohort2_eff_stdErr	cohort2_exome_wide_check	chr	start	end	gene_type	strand	additional_info1	additional_info2
Gene1224	0.000452656955694075	suggestiveHit	4.624	-5.243	14.491	5.034	35.2487515	3.07520536871406	0.0794945532357947	2.798	-2.048	7.643	2.472	35.2487515	3.07520536871406	0.0794945532357947	0.05060727123611	10	6	20	0.003333	48_48.61	63.077	47.955	15.122	61	47	14	13	0.0381572672182439	10.614	0.625	20.604	10.614	5.097	NA	0.00293590830708912	10	10	34	0.005667	48_48.61	47.154	48.676	-1.522	50	48	2	13	0.889550973243994	0.393	-5.149	5.935	0.393	2.827	NA	1	1835000	1836000	non_coding	-	info1224	info1224
Gene1320	0.0010980276654734	NA	0.252	-13.481	13.986	7.007	86.3418685	8.27503314727941	0.00401939288077546	1.038	-3.698	5.773	2.416	86.3418685	8.27503314727941	0.00401939288077546	0.128636390453502	10	10	34	0.005667	48_48.61	34.913	49.747	-14.834	28	49	-21	23	0.0616214218838195	-6.863	-14.032	0.306	-6.863	3.658	NA	0.000606495631646942	10	10	39	0.0065	48_48.61	54.636	48.133	6.503	56	47.5	8.5	22	0.02698997708999	7.152	0.846	13.458	7.152	3.218	suggestiveHit	1	1979000	1980000	non_coding	-	info1320	info1320
Gene385	0.00223800222190473	NA	3.335	-7.425	14.096	5.49	49.5483945	5.61224811701546	0.0178353667683327	2.975	-1.553	7.503	2.31	49.5483945	5.61224811701546	0.0178353667683327	0.0158363410893325	10	9	30	0.005	48_48.61	71.706	47.223	24.483	79	46	33	17	0.00940386017899792	8.904	2.228	15.58	8.904	3.406	NA	0.0732871413853049	10	9	44	0.007333	48_48.61	44.4	48.993	-4.593	44	49	-5	25	0.50929991345445	-2.077	-8.239	4.084	-2.077	3.144	NA	1	576500	577500	protein_coding	+	info385	info385
Gene653	0.00230795898436931	NA	5.993	-3.911	15.898	5.053	30.919417	2.50153786697862	0.113735187019763	5.289	-0.83	11.408	3.122	30.919417	2.50153786697862	0.113735187019763	0.0195148182460245	10	6	14	0.002333	48_48.61	67.143	48.167	18.976	80	47	33	7	0.0226436450149951	11.537	1.669	21.405	11.537	5.035	NA	0.0347946973655635	10	7	34	0.005667	48_48.61	52.773	48.281	4.492	50	47.5	2.5	22	0.727643728503945	1.387	-6.411	9.185	1.387	3.979	NA	1	978500	979500	protein_coding	+	info653	info653
Gene919	0.00319090605810646	NA	5.586	-10.387	21.558	8.149	113.4191275	6.80930779967035	0.00906839113305091	4.144	-1.847	10.135	3.057	113.4191275	6.80930779967035	0.00906839113305091	0.00720211832452955	10	8	21	0.0035	48_48.61	66.625	47.595	19.03	74.5	46	28.5	16	0.00425769368888201	13.987	4.471	23.503	13.987	4.855	NA	0.147345594076761	10	10	33	0.0055	48_48.61	48.913	48.585	0.328	49	48	1	23	0.555961337054091	-2.319	-10.031	5.392	-2.319	3.934	NA	1	1377500	1378500	protein_coding	+	info919	info919
Gene682	0.00658490753367968	NA	1.013	-9.841	11.868	5.538	48.276931	4.69599524787901	0.0302329849113041	1.088	-3.92	6.096	2.555	48.276931	4.69599524787901	0.0302329849113041	0.102522591281402	10	9	27	0.0045	48_48.61	63.417	47.993	15.424	61.5	47.5	14	12	0.0693853395487602	6.531	-0.492	13.554	6.531	3.583	NA	0.0356373361569109	10	10	40	0.006667	48_48.61	41.968	49.375	-7.408	44	49	-5	31	0.213338280893856	-4.545	-11.688	2.598	-4.545	3.645	NA	1	1022000	1023000	non_coding	-	info682	info682
Gene271	0.00661278390642495	NA	-6.942	-20.024	6.14	6.674	53.468436	2.19617161983154	0.13835397504581	-4.394	-11.292	2.504	3.519	53.468436	2.19617161983154	0.13835397504581	0.113014992584559	10	7	12	0.002	48_48.61	32.083	49.299	-17.215	28	49	-21	12	0.063579183110623	-16.078	-33.001	0.845	-16.078	8.634	NA	0.0296389178280263	10	10	29	0.004833	48_48.61	39.842	49.203	-9.361	36	49	-13	19	0.592396971016593	-2.066	-9.62	5.488	-2.066	3.854	NA	1	405500	406500	protein_coding	+	info271	info271
Gene466	0.00713438522023424	NA	-0.523	-7.619	6.573	3.62	13.5196755	2.06302698301652	0.150910133212394	-0.639	-5.572	4.294	2.517	13.5196755	2.06302698301652	0.150910133212394	0.3722758828222	10	8	34	0.005667	48_48.61	44.333	48.883	-4.55	44	48.5	-4.5	18	0.24357558565067	-4.035	-10.804	2.734	-4.035	3.453	NA	0.00248282549719103	10	7	31	0.005167	48_48.61	51.818	48.356	3.462	55	48	7	22	0.383386035698158	3.209	-3.996	10.414	3.209	3.676	NA	1	698000	699000	non_coding	-	info466	info466
Gene1145	0.008221800563875	NA	-0.997	-20.976	18.981	10.193	193.5635695	14.4856844915921	0.000141228746250333	2.343	-2.572	7.258	2.508	193.5635695	14.4856844915921	0.000141228746250333	0.0148025772387488	10	10	28	0.004667	48_48.61	31.526	49.765	-18.239	31	49	-18	19	0.00987395390116894	-11.441	-20.075	-2.807	-11.441	4.405	NA	0.176875407586514	10	9	36	0.006	48_48.61	59.81	47.767	12.042	64	47	17	21	0.00360055868917809	8.951	2.973	14.93	8.951	3.05	NA	1	1716500	1717500	protein_coding	+	info1145	info1145
Gene545	0.00935422615602266	NA	7.511	1.153	13.869	3.244	0	0.228608654911672	0.63255741440553	7.511	1.153	13.869	3.244	0	0.228608654911672	0.63255741440553	0.00868102250738267	10	10	36	0.006	48_48.61	59.238	47.81	11.428	64	47	17	21	0.0450226738696311	6.948	0.183	13.712	6.948	3.451	NA	0.515381919877916	10	3	10	0.001667	48_48.61	59.7	48.228	11.472	54	48	6	10	0.21605520759828	11.782	-6.844	30.408	11.782	9.503	NA	1	816500	817500	protein_coding	+	info545	info545
